,0,1,2,3,4,5,6,7,8,9,10
0,PATI3,94,17012,2.03,2010-12-31,2011-04-01,8534,322,8856,142082,16.0436
1,PATI3,94,17031,2.03,2011-03-31,2011-05-13,8534,322,8856,145655,16.4470
2,PATI3,94,17048,2.03,2011-06-30,2011-08-11,8850,334,9184,150820,16.4220
3,PATI3,94,17063,2.03,2011-09-30,2011-11-11,9135,345,9480,153010,16.1403
4,PATI3,94,17078,2.03,2011-12-31,2012-03-20,9135,345,9480,158596,16.7295
5,PATI3,94,17099,2.03,2012-03-31,2012-05-15,9135,345,9480,162223,17.1121
6,PATI3,94,17116,2.03,2012-06-30,2012-08-14,9241,349,9590,165781,17.2869
7,PATI3,94,17134,2.03,2012-09-30,2012-11-14,9423,355,9778,170283,17.4149
8,PATI3,94,17151,2.03,2012-12-31,2013-03-08,9423,355,9778,174065,17.8017
9,PATI3,94,17170,2.03,2013-03-31,2013-05-10,9423,355,9778,177467,18.1496
10,PATI3,94,17189,2.03,2013-06-30,2013-08-13,9462,335,9797,178250,18.1943
11,PATI3,94,17207,2.03,2013-09-30,2013-11-13,10785,679,11464,241884,21.0994
12,PATI3,94,17225,2.03,2013-12-31,2014-03-18,11841,746,12587,281428,22.3586
13,PATI3,94,17243,2.03,2014-03-31,2014-05-13,11841,746,12587,288581,22.9269
14,PATI3,94,17258,2.03,2014-06-30,2014-08-12,13307,622,13929,291809,20.9497
15,PATI3,94,17274,2.03,2014-09-30,2014-11-13,13307,622,13929,303505,21.7894
16,PATI3,94,17312,2.03,2014-12-31,2015-03-05,15614,699,16313,305832,18.7477
17,PATI3,94,17336,2.03,2015-03-31,2015-05-15,15614,699,16313,309667,18.9828
18,PATI3,94,17349,2.03,2015-06-30,2015-08-13,15614,699,16313,311824,19.1151
19,PATI3,94,17367,2.03,2015-09-30,2015-11-12,15614,699,16313,315624,19.3480
20,PATI3,94,17385,2.03,2015-12-31,2016-03-18,15803,707,16510,316901,19.1945
21,PATI3,94,17406,2.03,2016-03-31,2016-05-13,15803,707,16510,320430,19.4082
22,PATI3,94,17422,2.03,2016-06-30,2016-08-15,15803,707,16510,324334,19.6447
23,PATI3,94,17439,2.03,2016-09-30,2016-11-11,16572,742,17314,329637,19.0388
24,PATI3,94,17457,2.03,2016-12-31,2017-03-17,16703,748,17451,332568,19.0572
25,PATI3,94,17477,2.03,2017-03-31,2017-05-12,16703,748,17451,336330,19.2728
26,PATI3,94,17496,2.03,2017-06-30,2017-08-11,16703,748,17451,340460,19.5095
27,PATI3,94,17511,2.03,2017-09-30,2017-11-09,16703,748,17451,344551,19.7439
28,PATI3,94,17527,2.03,2017-12-31,2018-02-26,16880,756,17636,349634,19.8250
29,PATI3,94,17549,2.03,2018-03-31,2018-05-11,16880,756,17636,358092,20.3046
30,PATI3,94,17562,2.03,2018-06-30,2018-08-15,16880,756,17636,398166,22.5769
31,PATI3,94,17580,2.03,2018-09-30,2018-11-14,16880,756,17636,403456,22.8768
32,PATI3,94,17596,2.03,2018-12-31,2019-02-28,17075,764,17839,413798,23.1963
33,PATI3,94,17618,2.03,2019-03-31,2019-05-10,17075,764,17839,420237,23.5572
34,PATI3,94,17632,2.03,2019-06-30,2019-08-13,17075,764,17839,425358,23.8443
35,PATI3,94,17647,2.03,2019-09-30,2019-11-11,17075,764,17839,425541,23.8545
36,PATI3,94,17664,2.03,2019-12-31,2020-02-28,17487,783,18270,426366,23.3369
37,PATI3,94,17682,2.03,2020-03-31,2020-06-25,17487,783,18270,517127,28.3047
38,PATI3,94,17701,2.03,2020-06-30,2020-08-26,17487,783,18270,525461,28.7609
39,PATI3,94,30538,2.03,2020-09-30,2020-11-13,17487,783,18270,551782,30.2015
40,PATI4,94,17012,2.03,2010-12-31,2011-04-01,8534,322,8856,142082,16.0436
41,PATI4,94,17031,2.03,2011-03-31,2011-05-13,8534,322,8856,145655,16.4470
42,PATI4,94,17048,2.03,2011-06-30,2011-08-11,8850,334,9184,150820,16.4220
43,PATI4,94,17063,2.03,2011-09-30,2011-11-11,9135,345,9480,153010,16.1403
44,PATI4,94,17078,2.03,2011-12-31,2012-03-20,9135,345,9480,158596,16.7295
45,PATI4,94,17099,2.03,2012-03-31,2012-05-15,9135,345,9480,162223,17.1121
46,PATI4,94,17116,2.03,2012-06-30,2012-08-14,9241,349,9590,165781,17.2869
47,PATI4,94,17134,2.03,2012-09-30,2012-11-14,9423,355,9778,170283,17.4149
48,PATI4,94,17151,2.03,2012-12-31,2013-03-08,9423,355,9778,174065,17.8017
49,PATI4,94,17170,2.03,2013-03-31,2013-05-10,9423,355,9778,177467,18.1496
50,PATI4,94,17189,2.03,2013-06-30,2013-08-13,9462,335,9797,178250,18.1943
