,alpha,beta_mercado,beta_tamanho,beta_valor,beta_liquidez,beta_momentum,beta_beta,tvalue_alpha,tvalue_mercado,tvalue_tamanho,tvalue_valor,tvalue_liquidez,tvalue_momentum,tvalue_beta,pvalue_alpha,pvalue_mercado,pvalue_tamanho,pvalue_valor,pvalue_liquidez,pvalue_momentum,pvalue_beta,fvalue,f_pvalue,R_squared_adj
2012-03-12,-0.008176157101482603,0.45418332493902464,-0.0231861785796742,0.17872838982120917,0.08195126024196814,0.17468597932733781,-0.24865711191567574,-348542939366296.3,1263328263299022.8,-115753370824584.66,1103925690628091.4,291365676207794.6,583123350018043.1,-1063172383278994.0,8.231659945585185e-30,6.26567083102369e-31,7.463331055178576e-29,8.20578850310614e-31,1.1779401410111009e-29,2.940892403422527e-30,8.84693071520066e-31,5.5231380150860634e+29,1.8105649311470582e-30,1.0
2012-03-13,-0.005148255036947713,0.4759341321594036,-0.029805304776341635,0.1511038358910651,0.12900465124332583,0.13325460719614435,-0.24186509860199795,-32462862812810.973,268558293846493.28,-21809603259689.594,91257912601003.23,37962493404838.695,60209344986438.086,-156050668685637.34,9.489129358705483e-28,1.386509538504575e-29,2.1023473378157657e-27,1.2007675384454848e-28,6.938898599549753e-28,2.7584949603496496e-28,4.106470733945088e-29,1.960514975376921e+28,5.100700645287056e-29,1.0
2012-03-14,0.013503286801268645,0.59340778197693,-0.15772187798218398,-0.12226825819292952,0.00888616607441399,-0.17227428162357727,0.0028529681015786457,894511204764619.1,767205454292012.0,-508815337934462.0,-485855254721069.6,44008900626838.71,-813419820578236.2,8326761307195.105,1.2497652074705448e-30,1.6989345039459282e-30,3.862598888892074e-30,4.236294966034747e-30,5.163200148655696e-28,1.5113689605082859e-30,1.4422739819200023e-26,2.50237118613247e+29,3.9962096971934296e-30,1.0
2012-03-16,-0.008321067855597018,0.4494183865304143,-0.09463855604357078,0.014732209112007223,-0.2136002320947392,0.13952269385824706,-0.1662599764887296,-430539374506308.9,951038764610934.1,-195488650391395.5,36809380911240.01,-219205632571499.44,628436780156108.4,-169501046387385.75,1.2830378964054358e-72,2.4395670864688416e-74,6.6480782100154185e-71,2.8087384252670054e-67,3.750121297277997e-71,1.936403628104962e-73,1.3565691728256812e-70,3.1383003594499993e+29,1.3240845222010978e-73,1.0
2012-03-19,0.00022042204000409342,0.6122056954401518,-0.17314976736339543,-0.2480907703590667,-0.0020834247766274294,0.02599163916421718,-0.07227125720813,3654775622856.2627,1395265166741514.2,-718140884714884.2,-329612836222372.25,-5445007137825.197,28519345220286.824,-243594888175999.22,3.3628567848863266e-50,1.5831579354735255e-60,2.2558625827959527e-59,5.083171768644983e-58,6.825860946294674e-51,9.069702657594701e-54,1.704035227670407e-57,2.2896843695379683e+30,5.340805871403812e-61,1.0
2012-03-20,0.00022042204000423046,0.6122056954401516,-0.1731497673633957,-0.24809077035906754,-0.0020834247766272906,0.02599163916421532,-0.07227125720813002,1059096619785.7146,394393843998380.94,-204784188495179.06,-94365264318575.44,-1493241160073.5332,8289712231189.773,-68502605215116.805,4.782888770520929e-71,1.793589313690634e-86,9.152194562005043e-85,9.559403833013369e-83,6.088692739272361e-72,2.080017766301867e-76,6.532226608260458e-82,1.7370630119023662e+29,2.163547011130607e-87,1.0
2012-03-21,-0.004449516157615092,0.7202071690325725,-0.22955803877462966,0.2751850008934754,0.08093419002507386,0.0798096090369711,0.18297447727550334,-82664523875926.62,476583803288476.8,-123371716261368.17,89875828952891.39,52381215905685.94,82425895295278.4,174291121301950.16,1.2849155225316134e-55,1.1630386177718484e-58,2.5899347626974656e-56,9.195590315306464e-56,7.969828005077959e-55,1.2998599356266643e-55,6.502048349540285e-57,1.1928977666006352e+30,1.967666901743526e-60,1.0
2012-03-22,-0.0006518804499158135,0.672899555337213,-0.2998323345143596,0.2008097625364451,0.0719164827040702,0.026228605994284004,0.17024196573348108,-0.2238737176362363,9.266918455224594,-5.919469882684493,0.9350648905353329,1.1694817467559093,0.6438143031566832,1.7252223463967409,0.8338251432362467,0.0007540936258158573,0.00407943837411862,0.4026916548129043,0.3071426865448179,0.5547525922957246,0.15957189908685593,180.5597435960723,8.079664313636914e-05,0.9908034007612336
2012-03-23,0.00843319625253008,0.6019891357753341,-0.20280114522493548,-0.18015684425872341,-0.03644895223384701,-0.10116136420682426,0.013713926968166847,140262617313889.2,1124645904164501.0,-332598608532316.2,-512607982642592.9,-51113999929237.27,-109758357989978.66,32809550759328.797,8.864457070909952e-84,3.3358686136963864e-89,4.986332157617886e-86,3.7204166802812792e-87,3.7849885031154353e-81,3.860807651160945e-83,5.411305703185822e-80,5.032429538915572e+29,8.89774481106196e-89,1.0
2012-03-26,0.00041443786615521106,0.6618408848120081,-0.2667775767227081,0.16263177212665791,0.04107338085975501,0.009251551074374137,0.1524329935045613,0.10689870203597976,7.277873389796483,-4.124591542590895,0.6492985739361924,0.43751649785608593,0.1694420739940698,1.3269556990131288,0.9178685487166737,0.0001658905717782556,0.004433951429924199,0.5368598202970284,0.6749179368081064,0.8702416223768041,0.2261692052778717,190.6509542543664,2.150953672143743e-07,0.9887045483294852
2012-03-27,0.00041443786615521106,0.6618408848120081,-0.2667775767227081,0.16263177212665791,0.04107338085975501,0.009251551074374137,0.1524329935045613,0.10689870203597976,7.277873389796483,-4.124591542590895,0.6492985739361924,0.43751649785608593,0.1694420739940698,1.3269556990131288,0.9178685487166737,0.0001658905717782556,0.004433951429924199,0.5368598202970284,0.6749179368081064,0.8702416223768041,0.2261692052778717,190.6509542543664,2.150953672143743e-07,0.9887045483294852
