,codigo,fundo,data,cota,variacao,captacao,resgate,patrimonio_liquido,cotistas
2012-06-01,24630,VERDE AM AÇÕES MASTER FUNDO DE INVESTIMENTO EM AÇÕES,2012-06-01,1.0,,0.0,0.0,373465002.9,1
2012-06-02,24630,VERDE AM AÇÕES MASTER FUNDO DE INVESTIMENTO EM AÇÕES,2012-06-01,1.0,,0.0,0.0,373465002.9,1
2012-06-03,24630,VERDE AM AÇÕES MASTER FUNDO DE INVESTIMENTO EM AÇÕES,2012-06-01,1.0,,0.0,0.0,373465002.9,1
2012-06-04,24630,VERDE AM AÇÕES MASTER FUNDO DE INVESTIMENTO EM AÇÕES,2012-06-04,0.9954687,-0.0045313,0.0,1627473.0,370145277.97,1
2012-06-05,24630,VERDE AM AÇÕES MASTER FUNDO DE INVESTIMENTO EM AÇÕES,2012-06-05,0.9898004000000001,-0.005694101682956,339190.34,0.0,368376796.25,1
2012-06-06,24630,VERDE AM AÇÕES MASTER FUNDO DE INVESTIMENTO EM AÇÕES,2012-06-06,1.0004738000000002,0.010783386226152,1207384.91,90000.0,373466542.46,1
2012-06-07,24630,VERDE AM AÇÕES MASTER FUNDO DE INVESTIMENTO EM AÇÕES,2012-06-06,1.0004738000000002,0.010783386226152,1207384.91,90000.0,373466542.46,1
2012-06-08,24630,VERDE AM AÇÕES MASTER FUNDO DE INVESTIMENTO EM AÇÕES,2012-06-08,0.9964847,-0.003987210859495,2583411.91,229347.91,374331508.44,1
2012-06-09,24630,VERDE AM AÇÕES MASTER FUNDO DE INVESTIMENTO EM AÇÕES,2012-06-08,0.9964847,-0.003987210859495,2583411.91,229347.91,374331508.44,1
2012-06-10,24630,VERDE AM AÇÕES MASTER FUNDO DE INVESTIMENTO EM AÇÕES,2012-06-08,0.9964847,-0.003987210859495,2583411.91,229347.91,374331508.44,1
2012-06-11,24630,VERDE AM AÇÕES MASTER FUNDO DE INVESTIMENTO EM AÇÕES,2012-06-11,0.9978394,0.0013594789764460001,891916.65,645518.63,375086810.62,1
2012-06-12,24630,VERDE AM AÇÕES MASTER FUNDO DE INVESTIMENTO EM AÇÕES,2012-06-12,1.0129503,0.015143619303868,2772541.63,31464.67,383508059.47,1
2012-06-13,24630,VERDE AM AÇÕES MASTER FUNDO DE INVESTIMENTO EM AÇÕES,2012-06-13,1.0111024,-0.0018242750902979997,4947757.29,94452.91,387661754.12,1
2012-06-14,24630,VERDE AM AÇÕES MASTER FUNDO DE INVESTIMENTO EM AÇÕES,2012-06-14,1.0084299,-0.002643154639926,1724246.71,29680.16,388331663.32,1
2012-06-15,24630,VERDE AM AÇÕES MASTER FUNDO DE INVESTIMENTO EM AÇÕES,2012-06-15,1.0111823,0.002729391502572,1132056.41,30115.23,390493515.66,1
2012-06-16,24630,VERDE AM AÇÕES MASTER FUNDO DE INVESTIMENTO EM AÇÕES,2012-06-15,1.0111823,0.002729391502572,1132056.41,30115.23,390493515.66,1
2012-06-17,24630,VERDE AM AÇÕES MASTER FUNDO DE INVESTIMENTO EM AÇÕES,2012-06-15,1.0111823,0.002729391502572,1132056.41,30115.23,390493515.66,1
2012-06-18,24630,VERDE AM AÇÕES MASTER FUNDO DE INVESTIMENTO EM AÇÕES,2012-06-18,1.0201524,0.008870902902474,1615827.64,30286.12,395543068.29,1
2012-06-19,24630,VERDE AM AÇÕES MASTER FUNDO DE INVESTIMENTO EM AÇÕES,2012-06-19,1.0290991,0.008769964173979999,2975572.06,403862.21,401583687.43,1
2012-06-20,24630,VERDE AM AÇÕES MASTER FUNDO DE INVESTIMENTO EM AÇÕES,2012-06-20,1.0234807,-0.005459532517325,865192.82,45780.48,400210654.42,1
2012-06-21,24630,VERDE AM AÇÕES MASTER FUNDO DE INVESTIMENTO EM AÇÕES,2012-06-21,1.0122564,-0.010966792046005,1597246.27,31144.02,397387735.37,1
2012-06-22,24630,VERDE AM AÇÕES MASTER FUNDO DE INVESTIMENTO EM AÇÕES,2012-06-22,1.009161,-0.003057920898302,2062149.96,100376.13,398134319.64,1
2012-06-23,24630,VERDE AM AÇÕES MASTER FUNDO DE INVESTIMENTO EM AÇÕES,2012-06-22,1.009161,-0.003057920898302,2062149.96,100376.13,398134319.64,1
2012-06-24,24630,VERDE AM AÇÕES MASTER FUNDO DE INVESTIMENTO EM AÇÕES,2012-06-22,1.009161,-0.003057920898302,2062149.96,100376.13,398134319.64,1
2012-06-25,24630,VERDE AM AÇÕES MASTER FUNDO DE INVESTIMENTO EM AÇÕES,2012-06-25,1.0020040000000001,-0.007092029913958,4130662.98,275883.62,399165512.63,1
2012-06-26,24630,VERDE AM AÇÕES MASTER FUNDO DE INVESTIMENTO EM AÇÕES,2012-06-26,1.0049105999999999,0.002900786823207,4699137.15,366021.14,404656511.93,1
2012-06-27,24630,VERDE AM AÇÕES MASTER FUNDO DE INVESTIMENTO EM AÇÕES,2012-06-27,1.0094495,0.004516720193816,544963.42,1382118.28,405647071.6,1
2012-06-28,24630,VERDE AM AÇÕES MASTER FUNDO DE INVESTIMENTO EM AÇÕES,2012-06-28,1.0107423,0.001280698043835,1103646.12,0.0,407270265.55,1
2012-06-29,24630,VERDE AM AÇÕES MASTER FUNDO DE INVESTIMENTO EM AÇÕES,2012-06-29,1.0207780999999998,0.009929138218515,2572441.83,123013.56,413763518.66,1
2012-06-30,24630,VERDE AM AÇÕES MASTER FUNDO DE INVESTIMENTO EM AÇÕES,2012-06-29,1.0207780999999998,0.009929138218515,2572441.83,123013.56,413763518.66,1
2012-07-01,24630,VERDE AM AÇÕES MASTER FUNDO DE INVESTIMENTO EM AÇÕES,2012-06-29,1.0207780999999998,0.009929138218515,2572441.83,123013.56,413763518.66,1
2012-07-02,24630,VERDE AM AÇÕES MASTER FUNDO DE INVESTIMENTO EM AÇÕES,2012-07-02,1.0235604999999999,0.002725763807041,1820693.49,32184.25,416679863.91,1
2012-07-03,24630,VERDE AM AÇÕES MASTER FUNDO DE INVESTIMENTO EM AÇÕES,2012-07-03,1.0266287,0.0029975756196140005,2914015.99,598949.77,420243962.21,1
2012-07-04,24630,VERDE AM AÇÕES MASTER FUNDO DE INVESTIMENTO EM AÇÕES,2012-07-04,1.0279524,0.001289365863238,2584584.16,32621.65,423337746.93,1
2012-07-05,24630,VERDE AM AÇÕES MASTER FUNDO DE INVESTIMENTO EM AÇÕES,2012-07-05,1.0331409,0.005047412701210999,1245161.38,437706.28,426281962.17,1
2012-07-06,24630,VERDE AM AÇÕES MASTER FUNDO DE INVESTIMENTO EM AÇÕES,2012-07-06,1.0292061,-0.003808580223666,2142038.88,189140.4,426611339.97,1
2012-07-07,24630,VERDE AM AÇÕES MASTER FUNDO DE INVESTIMENTO EM AÇÕES,2012-07-06,1.0292061,-0.003808580223666,2142038.88,189140.4,426611339.97,1
2012-07-08,24630,VERDE AM AÇÕES MASTER FUNDO DE INVESTIMENTO EM AÇÕES,2012-07-06,1.0292061,-0.003808580223666,2142038.88,189140.4,426611339.97,1
2012-07-09,24630,VERDE AM AÇÕES MASTER FUNDO DE INVESTIMENTO EM AÇÕES,2012-07-09,1.0292768,6.869372422113609e-05,1632327.46,33405.09,428239548.58,1
2012-07-10,24630,VERDE AM AÇÕES MASTER FUNDO DE INVESTIMENTO EM AÇÕES,2012-07-10,1.0213661,-0.007685687659529001,368151.72,33943.01,425282446.41,1
2012-07-11,24630,VERDE AM AÇÕES MASTER FUNDO DE INVESTIMENTO EM AÇÕES,2012-07-11,1.0183127,-0.0029895254992309997,85266.68,33727.6,424062589.39,1
2012-07-12,24630,VERDE AM AÇÕES MASTER FUNDO DE INVESTIMENTO EM AÇÕES,2012-07-12,1.0191444,0.000816743226319,2067668.74,33891.54,426442738.89,1
2012-07-13,24630,VERDE AM AÇÕES MASTER FUNDO DE INVESTIMENTO EM AÇÕES,2012-07-13,1.0201806,0.0010167352143619999,833172.43,189596.98,427519870.04,1
2012-07-14,24630,VERDE AM AÇÕES MASTER FUNDO DE INVESTIMENTO EM AÇÕES,2012-07-13,1.0201806,0.0010167352143619999,833172.43,189596.98,427519870.04,1
2012-07-15,24630,VERDE AM AÇÕES MASTER FUNDO DE INVESTIMENTO EM AÇÕES,2012-07-13,1.0201806,0.0010167352143619999,833172.43,189596.98,427519870.04,1
2012-07-16,24630,VERDE AM AÇÕES MASTER FUNDO DE INVESTIMENTO EM AÇÕES,2012-07-16,1.0205773,0.00038885271882199994,128000.0,135565.9,427678584.51,1
2012-07-17,24630,VERDE AM AÇÕES MASTER FUNDO DE INVESTIMENTO EM AÇÕES,2012-07-17,1.0262589,0.005567045239983001,944897.23,233688.88,430770680.71,1
2012-07-18,24630,VERDE AM AÇÕES MASTER FUNDO DE INVESTIMENTO EM AÇÕES,2012-07-18,1.0291969,0.0028628253552779996,1117665.64,39880.56,433081697.53,1
2012-07-19,24630,VERDE AM AÇÕES MASTER FUNDO DE INVESTIMENTO EM AÇÕES,2012-07-19,1.0338694,0.004539947603806,10424878.67,43944.97,445428795.56,1
2012-07-20,24630,VERDE AM AÇÕES MASTER FUNDO DE INVESTIMENTO EM AÇÕES,2012-07-20,1.0240662,-0.009482048699767999,922696.5,88926.74,442038960.09,1
2012-07-21,24630,VERDE AM AÇÕES MASTER FUNDO DE INVESTIMENTO EM AÇÕES,2012-07-20,1.0240662,-0.009482048699767999,922696.5,88926.74,442038960.09,1
2012-07-22,24630,VERDE AM AÇÕES MASTER FUNDO DE INVESTIMENTO EM AÇÕES,2012-07-20,1.0240662,-0.009482048699767999,922696.5,88926.74,442038960.09,1
2012-07-23,24630,VERDE AM AÇÕES MASTER FUNDO DE INVESTIMENTO EM AÇÕES,2012-07-23,1.0158073,-0.008064810653842,1557504.17,34287.09,439997251.54,1
2012-07-24,24630,VERDE AM AÇÕES MASTER FUNDO DE INVESTIMENTO EM AÇÕES,2012-07-24,1.0205969000000001,0.004715067513297,1305559.8,1234564.32,442142828.81,1
2012-07-25,24630,VERDE AM AÇÕES MASTER FUNDO DE INVESTIMENTO EM AÇÕES,2012-07-25,1.0241672,0.003498246957246,479495.62,36000.0,444133052.42,1
2012-07-26,24630,VERDE AM AÇÕES MASTER FUNDO DE INVESTIMENTO EM AÇÕES,2012-07-26,1.0399847,0.015444255586393,973799.1,168123.06,451798031.05,1
2012-07-27,24630,VERDE AM AÇÕES MASTER FUNDO DE INVESTIMENTO EM AÇÕES,2012-07-27,1.052529,0.012062004373717999,2204348.74,61000.0,459390999.34,1
2012-07-28,24630,VERDE AM AÇÕES MASTER FUNDO DE INVESTIMENTO EM AÇÕES,2012-07-27,1.052529,0.012062004373717999,2204348.74,61000.0,459390999.34,1
2012-07-29,24630,VERDE AM AÇÕES MASTER FUNDO DE INVESTIMENTO EM AÇÕES,2012-07-27,1.052529,0.012062004373717999,2204348.74,61000.0,459390999.34,1
2012-07-30,24630,VERDE AM AÇÕES MASTER FUNDO DE INVESTIMENTO EM AÇÕES,2012-07-30,1.0600273999999998,0.007124174250781001,3290968.54,0.0,465954758.27,1
2012-07-31,24630,VERDE AM AÇÕES MASTER FUNDO DE INVESTIMENTO EM AÇÕES,2012-07-31,1.0510706,-0.008449592906749001,495366.05,79000.0,462433957.78,1
2012-08-01,24630,VERDE AM AÇÕES MASTER FUNDO DE INVESTIMENTO EM AÇÕES,2012-08-01,1.0524673,0.0013288355701319998,2619685.71,37300.0,465630839.94,1
2012-08-02,24630,VERDE AM AÇÕES MASTER FUNDO DE INVESTIMENTO EM AÇÕES,2012-08-02,1.0471816999999999,-0.005022103774626,1129674.9,38657.59,464383454.51,1
2012-08-03,24630,VERDE AM AÇÕES MASTER FUNDO DE INVESTIMENTO EM AÇÕES,2012-08-03,1.0557527,0.008184825995335999,209629.73,602080.16,467791864.15,1
2012-08-04,24630,VERDE AM AÇÕES MASTER FUNDO DE INVESTIMENTO EM AÇÕES,2012-08-03,1.0557527,0.008184825995335999,209629.73,602080.16,467791864.15,1
2012-08-05,24630,VERDE AM AÇÕES MASTER FUNDO DE INVESTIMENTO EM AÇÕES,2012-08-03,1.0557527,0.008184825995335999,209629.73,602080.16,467791864.15,1
2012-08-06,24630,VERDE AM AÇÕES MASTER FUNDO DE INVESTIMENTO EM AÇÕES,2012-08-06,1.06221,0.0061162997736119995,1797023.33,38000.0,472412070.74,1
2012-08-07,24630,VERDE AM AÇÕES MASTER FUNDO DE INVESTIMENTO EM AÇÕES,2012-08-07,1.0625434999999999,0.00031396804775,3455174.51,308000.0,475707536.4,1
2012-08-08,24630,VERDE AM AÇÕES MASTER FUNDO DE INVESTIMENTO EM AÇÕES,2012-08-08,1.0682197,0.005342087171019,814951.95,38200.0,479025560.04,1
2012-08-09,24630,VERDE AM AÇÕES MASTER FUNDO DE INVESTIMENTO EM AÇÕES,2012-08-09,1.0674366000000002,-0.0007330888954770001,834545.65,38500.0,479470448.82,1
2012-08-10,24630,VERDE AM AÇÕES MASTER FUNDO DE INVESTIMENTO EM AÇÕES,2012-08-10,1.0740718999999999,0.006216106886348,2051695.61,45562.39,484457011.48,1
2012-08-11,24630,VERDE AM AÇÕES MASTER FUNDO DE INVESTIMENTO EM AÇÕES,2012-08-10,1.0740718999999999,0.006216106886348,2051695.61,45562.39,484457011.48,1
2012-08-12,24630,VERDE AM AÇÕES MASTER FUNDO DE INVESTIMENTO EM AÇÕES,2012-08-10,1.0740718999999999,0.006216106886348,2051695.61,45562.39,484457011.48,1
2012-08-13,24630,VERDE AM AÇÕES MASTER FUNDO DE INVESTIMENTO EM AÇÕES,2012-08-13,1.0751443,0.0009984434002969999,2099748.82,39000.0,487001463.77,1
2012-08-14,24630,VERDE AM AÇÕES MASTER FUNDO DE INVESTIMENTO EM AÇÕES,2012-08-14,1.0757251,0.000540206556459,602410.53,38900.0,487828072.66,1
2012-08-15,24630,VERDE AM AÇÕES MASTER FUNDO DE INVESTIMENTO EM AÇÕES,2012-08-15,1.0743614,-0.001267703059081,791935.02,307087.7,487694487.94,1
2012-08-16,24630,VERDE AM AÇÕES MASTER FUNDO DE INVESTIMENTO EM AÇÕES,2012-08-16,1.0782724,0.0036403020436140006,558436.84,189400.0,489838874.53,1
2012-08-17,24630,VERDE AM AÇÕES MASTER FUNDO DE INVESTIMENTO EM AÇÕES,2012-08-17,1.0737696,-0.004175939215360001,2472905.55,39600.0,490226654.59,1
2012-08-18,24630,VERDE AM AÇÕES MASTER FUNDO DE INVESTIMENTO EM AÇÕES,2012-08-17,1.0737696,-0.004175939215360001,2472905.55,39600.0,490226654.59,1
2012-08-19,24630,VERDE AM AÇÕES MASTER FUNDO DE INVESTIMENTO EM AÇÕES,2012-08-17,1.0737696,-0.004175939215360001,2472905.55,39600.0,490226654.59,1
2012-08-20,24630,VERDE AM AÇÕES MASTER FUNDO DE INVESTIMENTO EM AÇÕES,2012-08-20,1.0744658999999999,0.0006484631339909999,8459644.7,63299.4,498940919.02,1
2012-08-21,24630,VERDE AM AÇÕES MASTER FUNDO DE INVESTIMENTO EM AÇÕES,2012-08-21,1.0732386,-0.001142241926896,939074.48,342707.92,498967359.27,1
2012-08-22,24630,VERDE AM AÇÕES MASTER FUNDO DE INVESTIMENTO EM AÇÕES,2012-08-22,1.0732620000000002,2.18031666023855e-05,4564085.41,166292.93,503376002.97,1
2012-08-23,24630,VERDE AM AÇÕES MASTER FUNDO DE INVESTIMENTO EM AÇÕES,2012-08-23,1.0717188999999998,-0.00143776636087,945581.87,179257.22,503418592.38,1
2012-08-24,24630,VERDE AM AÇÕES MASTER FUNDO DE INVESTIMENTO EM AÇÕES,2012-08-24,1.0740477,0.002172957853034,323784.65,1184523.91,503651778.74,1
2012-08-25,24630,VERDE AM AÇÕES MASTER FUNDO DE INVESTIMENTO EM AÇÕES,2012-08-24,1.0740477,0.002172957853034,323784.65,1184523.91,503651778.74,1
2012-08-26,24630,VERDE AM AÇÕES MASTER FUNDO DE INVESTIMENTO EM AÇÕES,2012-08-24,1.0740477,0.002172957853034,323784.65,1184523.91,503651778.74,1
2012-08-27,24630,VERDE AM AÇÕES MASTER FUNDO DE INVESTIMENTO EM AÇÕES,2012-08-27,1.0737899,-0.00024002658354900004,1850380.19,80524.15,505300763.08,1
2012-08-28,24630,VERDE AM AÇÕES MASTER FUNDO DE INVESTIMENTO EM AÇÕES,2012-08-28,1.0707102,-0.0028680657175109993,1097002.21,1287884.1,503660645.31,1
2012-08-29,24630,VERDE AM AÇÕES MASTER FUNDO DE INVESTIMENTO EM AÇÕES,2012-08-29,1.0666751,-0.00376862011775,1305422.26,241000.0,502826952.56,1
2012-08-30,24630,VERDE AM AÇÕES MASTER FUNDO DE INVESTIMENTO EM AÇÕES,2012-08-30,1.0674086,0.000687650813261,755958.48,100000.0,503828678.15,1
2012-08-31,24630,VERDE AM AÇÕES MASTER FUNDO DE INVESTIMENTO EM AÇÕES,2012-08-31,1.0625597,-0.00454268402934,1085327.76,289000.0,502336266.87,1
2012-09-01,24630,VERDE AM AÇÕES MASTER FUNDO DE INVESTIMENTO EM AÇÕES,2012-08-31,1.0625597,-0.00454268402934,1085327.76,289000.0,502336266.87,1
2012-09-02,24630,VERDE AM AÇÕES MASTER FUNDO DE INVESTIMENTO EM AÇÕES,2012-08-31,1.0625597,-0.00454268402934,1085327.76,289000.0,502336266.87,1
2012-09-03,24630,VERDE AM AÇÕES MASTER FUNDO DE INVESTIMENTO EM AÇÕES,2012-09-03,1.0737341,0.010516491449845,1857507.72,252791.95,509223799.22,1
2012-09-04,24630,VERDE AM AÇÕES MASTER FUNDO DE INVESTIMENTO EM AÇÕES,2012-09-04,1.0715163,-0.002065502064245,1491740.68,487250.93,509176492.56,1
2012-09-05,24630,VERDE AM AÇÕES MASTER FUNDO DE INVESTIMENTO EM AÇÕES,2012-09-05,1.0772773000000002,0.005376493106078,1717332.58,91000.0,513540422.28,1
2012-09-06,24630,VERDE AM AÇÕES MASTER FUNDO DE INVESTIMENTO EM AÇÕES,2012-09-06,1.0845042999999999,0.006708579118858001,2335483.03,116000.0,519205033.45,1
2012-09-07,24630,VERDE AM AÇÕES MASTER FUNDO DE INVESTIMENTO EM AÇÕES,2012-09-06,1.0845042999999999,0.006708579118858001,2335483.03,116000.0,519205033.45,1
2012-09-08,24630,VERDE AM AÇÕES MASTER FUNDO DE INVESTIMENTO EM AÇÕES,2012-09-06,1.0845042999999999,0.006708579118858001,2335483.03,116000.0,519205033.45,1
2012-09-09,24630,VERDE AM AÇÕES MASTER FUNDO DE INVESTIMENTO EM AÇÕES,2012-09-06,1.0845042999999999,0.006708579118858001,2335483.03,116000.0,519205033.45,1
2012-09-10,24630,VERDE AM AÇÕES MASTER FUNDO DE INVESTIMENTO EM AÇÕES,2012-09-10,1.0814739,-0.002794272000581,2201096.93,47089.53,519908210.08,1
2012-09-11,24630,VERDE AM AÇÕES MASTER FUNDO DE INVESTIMENTO EM AÇÕES,2012-09-11,1.0798268,-0.001523014101404,3229399.83,117000.0,522228798.28,1
2012-09-12,24630,VERDE AM AÇÕES MASTER FUNDO DE INVESTIMENTO EM AÇÕES,2012-09-12,1.0764629,-0.0031152218114979995,2300050.98,43134.72,522858847.52,1
2012-09-13,24630,VERDE AM AÇÕES MASTER FUNDO DE INVESTIMENTO EM AÇÕES,2012-09-13,1.0862011,0.009046479911198,3284317.61,122335.81,530750875.49,1
2012-09-14,24630,VERDE AM AÇÕES MASTER FUNDO DE INVESTIMENTO EM AÇÕES,2012-09-14,1.0783744,-0.0072055717859239995,1371781.15,162500.0,528135773.23,1
2012-09-15,24630,VERDE AM AÇÕES MASTER FUNDO DE INVESTIMENTO EM AÇÕES,2012-09-14,1.0783744,-0.0072055717859239995,1371781.15,162500.0,528135773.23,1
2012-09-16,24630,VERDE AM AÇÕES MASTER FUNDO DE INVESTIMENTO EM AÇÕES,2012-09-14,1.0783744,-0.0072055717859239995,1371781.15,162500.0,528135773.23,1
2012-09-17,24630,VERDE AM AÇÕES MASTER FUNDO DE INVESTIMENTO EM AÇÕES,2012-09-17,1.0809073,0.0023488131765739997,1548954.68,43000.0,530882251.32,1
2012-09-18,24630,VERDE AM AÇÕES MASTER FUNDO DE INVESTIMENTO EM AÇÕES,2012-09-18,1.0820976999999998,0.001101297030744,1638958.2,238500.74,532867324.51,1
2012-09-19,24630,VERDE AM AÇÕES MASTER FUNDO DE INVESTIMENTO EM AÇÕES,2012-09-19,1.0883409,0.005769534488429,2069218.93,43000.0,537967954.43,1
2012-09-20,24630,VERDE AM AÇÕES MASTER FUNDO DE INVESTIMENTO EM AÇÕES,2012-09-20,1.0852566000000001,-0.0028339466062520004,1223084.07,43500.0,537622952.38,1
2012-09-21,24630,VERDE AM AÇÕES MASTER FUNDO DE INVESTIMENTO EM AÇÕES,2012-09-21,1.0933722,0.007478047127288,1566387.24,318500.0,542891252.7,1
2012-09-22,24630,VERDE AM AÇÕES MASTER FUNDO DE INVESTIMENTO EM AÇÕES,2012-09-21,1.0933722,0.007478047127288,1566387.24,318500.0,542891252.7,1
2012-09-23,24630,VERDE AM AÇÕES MASTER FUNDO DE INVESTIMENTO EM AÇÕES,2012-09-21,1.0933722,0.007478047127288,1566387.24,318500.0,542891252.7,1
2012-09-24,24630,VERDE AM AÇÕES MASTER FUNDO DE INVESTIMENTO EM AÇÕES,2012-09-24,1.0882393999999997,-0.004694467263755,1535203.62,205383.42,541672486.87,1
2012-09-25,24630,VERDE AM AÇÕES MASTER FUNDO DE INVESTIMENTO EM AÇÕES,2012-09-25,1.0854624,-0.002551828209859,4023235.72,54669.81,544258781.77,1
2012-09-26,24630,VERDE AM AÇÕES MASTER FUNDO DE INVESTIMENTO EM AÇÕES,2012-09-26,1.0903133999999999,0.0044690631384379995,4084427.88,732242.54,550043264.72,1
2012-09-27,24630,VERDE AM AÇÕES MASTER FUNDO DE INVESTIMENTO EM AÇÕES,2012-09-27,1.0932447,0.002688493051631,1614647.61,0.0,553136730.85,1
2012-09-28,24630,VERDE AM AÇÕES MASTER FUNDO DE INVESTIMENTO EM AÇÕES,2012-09-28,1.0960558,0.0025713364995050003,10479989.14,247000.0,564792006.56,1
2012-09-29,24630,VERDE AM AÇÕES MASTER FUNDO DE INVESTIMENTO EM AÇÕES,2012-09-28,1.0960558,0.0025713364995050003,10479989.14,247000.0,564792006.56,1
2012-09-30,24630,VERDE AM AÇÕES MASTER FUNDO DE INVESTIMENTO EM AÇÕES,2012-09-28,1.0960558,0.0025713364995050003,10479989.14,247000.0,564792006.56,1
2012-10-01,24630,VERDE AM AÇÕES MASTER FUNDO DE INVESTIMENTO EM AÇÕES,2012-10-01,1.0979926000000002,0.001767063319222,1808196.93,45000.0,567553213.94,1
2012-10-02,24630,VERDE AM AÇÕES MASTER FUNDO DE INVESTIMENTO EM AÇÕES,2012-10-02,1.0969768999999998,-0.0009250517717510001,1192698.27,146194.17,568074733.89,1
2012-10-03,24630,VERDE AM AÇÕES MASTER FUNDO DE INVESTIMENTO EM AÇÕES,2012-10-03,1.0947447,-0.0020348650915080002,5313502.49,396000.0,571836251.57,1
