,ABCB4,ENJU3,IGBR3,BMEB4,VAMO3,PRNR3,MDIA3,BDLL3,TPIS3,HOOT4,TIMS3,TKNO3,EQTL3,ECOR3,AMBP3,ENAT3,POMO4,CTNM3,SHUL4,NGRD3,ALPA4,BKBR3,BALM4,JSLG3,CESP5,AHEB5,CORR3,CMIG3,BRSR3,BRSR6,HAGA4,CPLE5,PETR4,AGRO3,MNDL3,PINE4,DIRR3,COGN3,PEAB3,TIET4,JOPA3,BOAS3,ATOM3,HAPV3,SLCE3,OFSA3,HETA4,AHEB6,HBOR3,REDE3,BMGB4,RADL3,ETER3,BMOB3,CEBR6,MYPK3,OIBR3,DOHL3,EUCA3,LJQQ3,AVLL3,CGRA4,PETR3,SEER3,JALL3,CEBR3,SLED4,CSAN3,LREN3,USIM3,OPCT3,CRPG6,CMIN3,SHUL3,HGTX3,CPLE3,BEEF3,RCSL3,CURY3,MSPA4,ELET3,FRTA3,ELET6,ELMD3,UCAS3,HBRE3,BTTL3,MEAL3,BIDI4,AZUL4,EEEL3,GEPA4,LAVV3,BSLI3,TCNO3,GMAT3,LINX3,HOOT3,AZEV3,SMTO3,SULA4,RSUL4,ALPA3,BPAN4,EZTC3,TEKA4,SQIA3,LAME3,JBSS3,CRPG3,BRKM6,UNIP3,UGPA3,BBAS3,MOAR3,USIM6,ATMP3,SOND6,TFCO4,RENT3,CEDO4,SANB3,UNIP6,CSMG3,VIVR3,PATI4,AZEV4,BDLL4,BSEV3,PARD3,CCPR3,TASA3,EALT3,ORVR3,TASA4,RANI3,POMO3,TESA3,PNVL3,MWET4,ALUP4,TUPY3,QUAL3,INTB3,SBSP3,CSNA3,GOLL4,MWET3,SOND5,RAPT3,GSHP3,RDOR3,PFRM3,VVAR3,BRKM5,CCRO3,ITUB4,TAEE3,WEGE3,RSID3,RDNI3,CSED3,BRML3,ABEV3,NEOE3,MRVE3,SANB4,BSLI4,EEEL4,BRAP3,ASAI3,EMAE4,WHRL4,DASA3,HBSA3,FLRY3,ENEV3,CESP3,ALSO3,RNEW4,DMMO3,BRKM3,HYPE3,TEND3,RAIL3,USIM5,CTNM4,PLPL3,EUCA4,PTNT4,CEAB3,TKNO4,BPAC3,ANIM3,ECPR4,EGIE3,GGBR4,SNSY5,DMVF3,GOAU3,AERI3,GPCP3,KLBN4,YDUQ3,AHEB3,MBLY3,GEPA3,ECPR3,EALT4,EMBR3,DTEX3,BOBR4,OIBR4,RCSL4,LUXM4,TIET3,JOPA4,MSPA3,BRSR5,BRAP4,EMAE3,CEBR5,TXRX4,BAHI3,CTKA4,TXRX3,JHSF3,TRPL4,ESPA3,MTSA4,PEAB4,OMGE3,CYRE3,BRFS3,SCAR3,VIVA3,WHRL3,CRFB3,KLBN3,SHOW3,MRFG3,CMIG4,CRPG5,TELB4,SNSY3,PMAM3,BMKS3,TELB3,CNTO3,GFSA3,MOVI3,MNPR3,EVEN3,CPFE3,FRAS3,FHER3,MTRE3,VALE3,CALI3,LLIS3,RRRP3,NUTR3,ALPK3,TAEE4,CAMB3,RPMG3,CAML3,BALM3,LCAM3,GUAR3,AMAR3,FRIO3,TGMA3,FESA4,LEVE3,LUXM3,SLED3,MTSA3,TCNO4,JBDU4,BIOM3,CASH3,LPSB3,ENGI3,POSI3,HAGA3,BRIV3,GOAU4,BPAC5,GRND3,CLSC3,TECN3,VULC3,CLSC4,ENBR3,BGIP3,ODPV3,TRPL3,GGBR3,MMXM3,BBSE3,PATI3,BIDI3,CVCB3,NTCO3,VSPT3,ROMI3,CEDO3,SEQL3,ELET5,BOBR3,MGLU3,SMLS3,CTKA3,MDNE3,ESTR4,JFEN3,RNEW3,TOTS3,APER3,TRIS3,CRDE3,BBDC3,SGPS3,OSXB3,SUZB3,CTSA4,TCSA3,STBP3,PDGR3,CORR4,JBDU3,BBDC4,PLAS3,ARZZ3,JPSA3,GPAR3,BTOW3,MGEL3,PRIO3,SOMA3,CALI4,PNVL4,CGRA3,PTNT3,WLMM4,LIGT3,BRPR3,ITUB3,BRDT3,INEP3,CTSA3,ENGI4,LWSA3,LUPA3,LAME4,VLID3,WIZS3,ALUP3,BRIV4,IGTA3,PDTC3,MOSI3,MILS3,GNDI3,MULT3,BGIP4,KEPL3,CAMB4,SIMH3,SULA3,MGEL4,BBRK3,LOGG3,PSSA3,INEP4,GPCP4,CSAB4,IRBR3,LOGN3,DOHL4,TEKA3,UNIP5,FESA3,RAPT4,VIVT3,BEES3,BMEB3,AALR3,PTBL3,CPLE6,POWE3,CESP6,MELK3,PCAR3,BEES4,CSAB3
2012-01-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,low,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,high,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,high,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,low,0,0,0,0,0,0,0,0,0,0,0,0,0,0,high,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,high,low,0,0,0,0,0,0,0,0,high,low,0,0,0,0,0,0,0,0,0,high,0,0,0,0,0,0,0,low,0,0,0,0,0,0,0,0,0,0,0,low,0,0,0,0,0,0,0,0,0,low,0,0,0,0,0,0,0,0,0,0,0,0,0,0,low,0,0,0,0,0,0,0,0,high,0,0,0,0,0,0,0,0,0,0,0,0,high,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,low,low,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,high,0,0,0,0,0,0,high,0,low,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,high,0,0,0,0,0,0,0,0,0,low,0,0,0,0,0,0,0,0,low,high,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,high,0,0,0,0,0,0,0,0,0,0,0,0
2013-01-01,0,0,0,0,0,0,low,0,0,0,0,0,0,0,0,0,low,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,high,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,high,high,0,0,0,0,0,0,0,low,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,low,0,0,0,low,0,0,0,low,low,0,0,0,0,0,0,0,0,0,high,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,low,0,high,low,0,0,0,0,0,0,0,0,high,low,high,0,0,0,0,0,high,0,0,high,0,0,0,0,0,0,0,low,0,0,0,0,0,0,0,0,low,0,0,0,0,0,0,0,0,0,0,0,0,low,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,high,0,0,0,high,0,0,0,0,0,0,0,high,0,0,0,0,0,low,0,0,0,0,0,0,low,high,0,0,0,0,0,0,0,0,0,0,low,low,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,high,0,high,0,0,0,0,high,0,low,0,0,0,0,0,0,0,0,0,0,0,0,0,0,high,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,high,0,0,0,0,high,0,0,0,0,low,0,0,0,0,0,0,0,0,low,high,0,0,0,0,0,0,0,low,0,0,0,0,0,0,0,0,0,low,0,0,0,0,0,0,0,0,high,0,0,0,0,0,0,0,0,0,high,0,0,0,0,0,0,0,0,0,0,0,0
2014-01-01,0,0,0,0,0,0,low,0,0,0,0,0,0,0,0,0,low,0,0,0,0,0,0,0,0,0,0,0,0,high,0,0,high,0,0,0,low,high,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,high,0,0,0,0,0,0,0,low,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,low,low,0,0,0,0,0,0,0,low,0,0,0,0,0,0,high,0,0,0,high,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,low,0,0,low,low,0,0,0,0,0,0,0,low,low,high,0,0,0,0,0,high,0,0,high,0,0,0,0,0,0,0,low,0,0,0,0,0,0,0,0,low,0,0,0,0,0,0,0,0,0,0,0,0,low,0,0,0,0,0,0,0,high,0,0,0,0,0,0,high,0,0,0,0,high,0,0,0,high,0,0,0,0,0,0,low,0,0,0,0,0,high,low,0,0,0,0,0,0,0,high,0,0,0,0,0,0,0,0,0,0,low,low,0,0,0,high,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,high,0,0,0,0,high,0,low,0,0,0,0,0,0,0,0,0,0,0,0,0,0,high,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,high,0,0,0,0,high,0,0,0,0,low,0,low,0,0,0,0,0,0,low,high,0,0,0,0,0,0,0,low,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,high,0,0,0,0,0,0,0,0,0,high,0,0,0,0,0,0,0,0,0,0,0,0
2015-01-01,0,0,0,0,0,0,low,0,0,0,0,0,0,0,0,0,low,0,0,0,0,0,0,0,0,0,0,0,0,high,0,0,high,0,0,0,0,high,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,low,high,0,0,0,0,0,0,0,low,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,high,0,0,0,0,0,0,0,low,0,0,0,low,0,0,0,low,0,0,0,0,0,0,high,0,0,0,high,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,low,0,0,low,low,0,0,0,0,0,0,0,low,low,high,0,0,low,0,0,high,0,0,high,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,low,0,0,0,0,0,0,0,0,0,0,0,0,low,0,0,0,0,0,0,0,0,0,0,0,0,0,high,high,0,0,0,0,high,0,0,0,high,0,0,0,0,0,0,0,high,0,0,0,0,high,low,0,0,0,0,0,0,low,high,0,0,0,0,0,0,0,0,0,0,0,low,0,0,0,high,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,high,0,0,0,0,high,0,low,0,0,0,low,0,0,0,0,0,0,0,0,0,0,high,0,0,0,0,0,0,low,0,0,0,0,0,0,0,0,high,0,0,0,0,high,0,0,0,0,low,0,low,0,0,0,0,0,0,low,high,0,0,0,0,0,0,0,low,0,0,0,0,low,0,0,0,0,0,0,0,0,0,0,0,0,0,high,0,0,0,0,0,0,0,0,0,high,0,0,0,0,0,0,0,0,0,0,0,0
2016-01-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,low,0,0,0,0,0,0,0,0,0,0,0,0,high,0,0,high,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,low,0,0,0,high,0,0,0,0,0,0,0,low,0,0,0,0,high,0,0,0,0,0,0,0,low,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,high,0,0,0,0,0,0,0,0,0,0,0,low,0,0,0,low,0,0,0,0,0,0,high,0,0,0,high,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,low,0,0,low,low,0,0,0,0,0,0,0,low,low,high,0,low,0,0,0,high,0,0,high,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,low,0,0,0,0,0,0,0,0,0,0,low,0,low,0,0,0,0,0,0,0,0,0,0,0,0,0,0,high,0,high,0,0,high,0,0,0,high,0,0,0,0,0,0,0,0,0,0,0,0,high,low,0,0,0,0,0,0,low,high,0,0,0,0,0,0,0,0,0,0,0,low,0,0,0,high,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,high,0,0,0,0,high,0,low,0,0,0,low,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,low,0,0,0,0,0,0,0,0,high,0,0,0,0,high,0,0,0,0,low,0,0,0,0,0,0,0,0,0,high,0,0,0,0,0,0,0,low,0,0,0,0,low,0,0,0,0,0,0,0,0,0,0,0,0,0,high,0,0,0,0,0,0,0,0,0,high,0,0,0,0,0,0,0,0,0,0,0,0
2017-01-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,low,0,0,0,high,0,0,0,0,0,0,0,0,high,0,0,high,0,0,0,0,high,0,0,0,0,0,0,0,0,0,0,0,0,0,low,0,0,0,high,0,0,0,0,0,0,0,0,0,0,0,low,0,0,0,0,0,0,0,0,low,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,low,0,0,0,0,0,0,high,0,0,0,high,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,low,0,0,low,low,0,0,0,0,0,0,0,low,low,high,0,low,0,0,0,high,0,0,high,0,0,0,0,0,0,0,0,0,low,0,0,0,0,0,0,low,0,low,0,0,0,0,0,0,0,0,0,0,low,0,0,0,0,0,0,0,high,0,0,0,0,0,high,high,0,high,0,0,0,0,0,0,high,0,0,0,0,0,0,0,0,0,0,0,0,high,low,0,0,0,0,0,0,low,high,0,0,0,0,0,0,0,0,0,0,0,low,0,0,0,high,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,high,0,0,0,0,high,0,low,0,0,0,low,0,0,low,0,0,0,0,0,0,0,0,0,0,0,0,0,0,low,0,0,0,0,0,0,0,0,0,0,0,0,0,high,0,0,0,0,low,0,0,0,0,0,0,0,0,0,high,0,0,0,0,0,0,0,low,0,0,0,0,low,0,0,high,0,0,0,0,0,0,0,0,0,0,high,0,0,0,0,0,0,0,0,0,high,0,0,0,0,0,0,0,0,0,0,0,0
2018-01-01,0,0,0,0,0,0,0,0,high,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,high,0,0,high,0,0,0,0,low,0,0,0,0,0,0,0,0,0,0,0,0,0,low,0,0,0,high,0,0,0,0,0,0,0,low,0,0,0,low,0,0,0,0,0,0,0,0,low,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,low,0,0,low,0,0,0,0,0,0,0,0,0,0,0,0,low,0,0,0,0,0,0,high,0,0,0,high,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,low,0,0,0,low,0,0,0,0,0,0,0,low,low,high,0,low,0,0,0,high,0,0,high,0,0,0,0,0,0,0,0,0,low,high,0,0,0,0,0,low,high,low,0,0,0,0,0,0,0,0,0,0,low,0,0,0,0,0,0,0,low,0,0,0,0,0,high,high,0,high,0,0,0,0,0,0,high,0,0,0,0,0,0,0,0,0,0,0,0,high,low,0,0,0,0,0,0,low,high,0,0,0,0,0,0,0,high,0,0,0,low,0,0,0,high,0,0,0,0,0,0,0,0,0,0,0,0,high,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,high,0,0,0,0,high,0,low,0,0,0,low,0,0,low,0,0,0,0,0,0,0,0,0,0,0,0,0,0,low,0,0,0,0,0,0,0,0,0,high,0,0,0,high,0,0,0,0,low,0,0,0,0,0,0,0,0,0,high,0,0,0,0,0,0,0,low,high,low,0,0,low,0,0,high,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,high,0,0,0,0,high,0,0,0,0,0,0,0
2019-01-01,0,0,0,0,0,0,low,0,high,0,0,0,0,0,0,0,low,0,0,0,high,low,0,0,0,0,0,0,0,high,0,0,high,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,low,0,0,0,high,high,0,0,0,0,0,0,low,0,0,0,0,0,0,0,0,0,0,high,0,low,0,0,0,0,0,0,0,0,0,0,0,0,low,0,0,0,0,0,0,low,0,0,low,0,0,0,0,0,0,0,0,0,0,0,0,low,0,0,0,0,0,0,0,0,0,0,high,low,0,0,0,0,0,0,0,0,0,low,0,0,0,0,0,0,high,low,0,0,0,low,0,0,0,0,0,0,high,low,low,high,0,low,0,0,0,high,0,0,high,0,0,0,0,0,0,0,0,0,low,high,0,0,0,0,0,low,high,low,0,0,0,0,0,0,0,0,0,0,low,0,0,0,0,0,0,0,high,0,0,0,0,0,high,high,0,0,0,0,0,0,0,0,high,0,0,0,0,0,0,0,0,0,0,0,0,high,low,0,0,0,low,0,0,low,high,0,0,0,0,0,0,0,high,0,0,0,0,0,0,0,high,0,0,0,0,0,0,0,0,low,0,low,0,high,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,high,0,0,high,0,high,0,low,0,0,0,low,0,0,low,0,0,0,0,0,0,0,0,low,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,high,0,0,0,high,0,0,0,0,low,0,0,0,0,0,0,0,0,0,high,0,0,0,0,0,0,0,low,high,low,0,0,low,0,0,high,0,0,0,0,0,0,0,0,0,0,high,0,0,0,0,0,0,0,0,0,high,0,0,0,0,0,0,0,0,0,0,0,0
2020-01-01,0,0,0,0,0,0,low,0,0,0,0,0,0,0,0,0,0,0,0,0,low,low,0,0,0,0,0,0,0,high,0,0,high,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,high,0,0,0,0,0,0,high,high,0,0,0,0,0,0,low,0,0,0,0,0,0,0,0,0,0,high,0,low,0,0,0,0,0,0,0,0,0,0,0,0,low,0,0,0,0,0,0,low,0,0,low,0,0,0,0,0,0,0,0,low,0,0,0,0,0,0,0,0,0,0,0,0,0,0,high,0,0,0,0,0,0,0,0,0,0,low,0,0,0,0,0,0,high,low,0,0,low,low,0,0,0,0,0,0,high,low,low,high,0,low,0,0,0,high,0,0,high,0,0,0,0,0,0,0,0,0,low,high,0,0,0,low,0,low,high,low,0,0,0,0,0,0,0,0,0,0,low,0,0,0,0,0,0,low,high,0,0,0,0,0,high,high,0,0,0,0,0,0,0,0,high,0,0,0,0,0,0,0,0,0,0,0,0,high,low,0,0,0,low,0,0,0,high,0,0,0,0,0,0,0,high,low,0,0,low,0,high,0,high,0,0,0,0,0,0,0,0,0,0,0,0,high,0,0,0,0,0,0,0,0,0,0,0,0,0,high,0,0,0,0,high,0,0,high,0,high,0,low,0,0,0,low,0,0,low,0,0,0,0,0,0,0,0,low,0,0,0,0,0,low,0,high,0,0,0,0,high,0,0,high,0,0,0,high,0,0,0,0,low,0,0,0,0,0,0,0,0,0,high,0,high,0,0,0,0,0,low,high,low,0,0,low,0,0,high,low,low,0,0,0,0,0,0,0,0,high,0,0,0,low,low,0,0,0,0,high,0,0,0,0,high,0,0,0,0,0,0,0
2021-01-01,0,0,0,0,0,0,low,0,high,0,0,0,0,0,0,0,0,0,0,0,low,0,0,0,0,0,0,0,0,high,0,0,high,0,0,0,0,0,0,high,0,0,0,0,0,0,0,0,high,0,0,low,low,0,0,high,high,0,0,0,0,0,0,low,0,0,low,low,0,0,0,0,0,0,high,0,low,0,0,0,0,0,0,0,0,0,0,0,0,low,0,0,0,0,0,0,low,0,0,low,0,0,0,0,low,0,low,0,0,0,0,0,low,0,0,0,0,0,0,0,0,0,0,high,low,0,0,0,0,high,0,0,0,0,low,high,0,0,0,0,0,high,low,0,0,0,low,0,0,0,0,0,0,0,low,low,high,0,low,0,0,0,high,high,high,high,0,0,0,0,0,0,0,0,0,low,high,0,0,0,low,0,low,high,low,0,0,0,0,0,0,0,0,0,0,low,0,0,0,0,0,0,low,high,0,0,0,0,0,high,high,0,0,low,0,0,0,0,0,high,0,0,0,0,0,0,0,0,0,0,0,high,high,low,0,high,0,low,0,high,low,high,0,0,0,0,0,0,low,high,0,0,0,low,0,0,0,high,0,0,0,0,0,0,0,0,0,0,low,high,high,0,low,0,0,0,0,0,0,0,0,0,high,0,high,0,0,0,0,high,0,0,high,0,high,0,low,0,0,0,low,0,0,0,0,0,0,0,0,0,0,low,0,0,0,0,0,0,0,0,high,0,0,0,0,low,0,0,high,0,0,0,high,0,0,0,0,low,0,low,0,0,0,0,0,0,0,high,0,high,0,0,0,low,0,low,high,low,0,0,low,0,0,high,low,low,0,0,0,0,0,0,high,0,high,0,0,0,low,low,0,0,0,0,high,0,0,0,0,high,0,0,0,0,high,0,0
