,fator_mercado,fator_tamanho,fator_valor,fator_liquidez,fator_momentum
2009-12-30,0.0039105103,0.0123542603,0.0006204154,0.0036642002,0.0057972083
2010-01-04,0.0214360990,-0.0054406971,0.0034502521,-0.0061497446,-0.0064019384
2010-01-05,0.0013252776,-0.0041094874,0.0049662432,0.0024859628,-0.0067383815
2010-01-06,0.0058684698,0.0143793495,0.0047307778,0.0088338368,0.0062406799
2010-01-07,-0.0029475521,0.0098373005,0.0053257518,0.0130030261,0.0036717777
2010-01-08,-0.0018442452,0.0096125836,-0.0000292296,0.0171780363,-0.0029374987
2010-01-11,0.0014738059,0.0100280801,0.0123344036,0.0191589929,0.0054486850
2010-01-12,-0.0046482482,0.0035100323,-0.0034841388,-0.0055866530,0.0018359371
2010-01-13,0.0040035611,0.0063944524,0.0014699120,0.0001027440,0.0063344464
2010-01-14,-0.0069652097,-0.0010719567,-0.0083457101,0.0051465286,0.0063834768
2010-01-15,-0.0121863019,0.0094962241,0.0097879190,0.0108147804,0.0097169001
2010-01-18,0.0074979300,0.0035550869,0.0016814901,0.0031059133,0.0067508747
2010-01-19,0.0062574646,0.0011174362,0.0020773541,-0.0018536649,-0.0025910069
2010-01-20,-0.0225919820,0.0037607439,-0.0014082957,0.0128905820,-0.0057549085
2010-01-21,-0.0248188991,-0.0045736153,-0.0114151482,0.0025219824,-0.0150683876
2010-01-22,0.0028213069,0.0004726504,0.0052022710,-0.0074008713,-0.0031453576
2010-01-26,-0.0132647427,-0.0030285073,0.0004977994,-0.0094706230,-0.0061221169
2010-01-27,-0.0079579167,-0.0041927951,-0.0068188095,0.0015260102,-0.0009245649
2010-01-28,0.0082266601,-0.0028612153,0.0032857005,-0.0054920875,-0.0033732923
2010-01-29,-0.0052835047,0.0039447113,0.0035913056,0.0040617348,-0.0036750506
2010-02-01,0.0161203630,-0.0022539049,-0.0014110086,-0.0050129928,0.0090590622
2010-02-02,0.0074504418,0.0043917042,0.0023253271,-0.0033258465,0.0186613761
2010-02-03,0.0000908299,-0.0011194478,-0.0032783886,-0.0015189842,0.0091242176
2010-02-04,-0.0429521315,-0.0035685189,-0.0086197890,0.0069011785,-0.0171309952
