,valor
2001-01-02,0.0005785165
2001-01-03,0.0005771435
2001-01-04,0.0005737087
2001-01-05,0.0005726778
2001-01-08,0.0005726778
2001-01-09,0.0005699272
2001-01-10,0.0005695832
2001-01-11,0.0005678629
2001-01-12,0.0005671746
2001-01-15,0.0005657977
2001-01-16,0.0005664862
2001-01-17,0.0005651090
2001-01-18,0.0005644202
2001-01-19,0.0005630423
2001-01-22,0.0005620085
2001-01-23,0.0005609745
2001-01-24,0.0005599402
2001-01-26,0.0005571808
2001-01-29,0.0005564906
2001-01-30,0.0005554552
2001-01-31,0.0005558003
2001-02-01,0.0005558003
2001-02-02,0.0005554552
2001-02-05,0.0005568357
2001-02-06,0.0005575258
2001-02-07,0.0005589057
2001-02-08,0.0005578708
2001-02-09,0.0005564906
2001-02-12,0.0005585607
2001-02-13,0.0005571808
2001-02-14,0.0005554552
2001-02-15,0.0005606298
2001-02-16,0.0005630423
2001-02-19,0.0005654533
2001-02-20,0.0005664862
2001-02-21,0.0005675188
2001-02-22,0.0005654533
2001-02-23,0.0005640758
2001-02-28,0.0005633868
2001-03-01,0.0005630423
2001-03-02,0.0005616639
2001-03-05,0.0005620085
2001-03-06,0.0005613192
2001-03-07,0.0005613192
2001-03-08,0.0005623531
2001-03-09,0.0005609745
2001-03-12,0.0005620085
2001-03-13,0.0005644202
2001-03-14,0.0005685511
2001-03-15,0.0005987145
2001-03-16,0.0005983729
2001-03-19,0.0006232249
2001-03-20,0.0005922212
2001-03-21,0.0006072421
2001-03-22,0.0007105009
2001-03-23,0.0006941982
2001-03-26,0.0006306842
2001-03-27,0.0006143912
2001-03-28,0.0006174513
2001-03-29,0.0006431981
2001-03-30,0.0006099671
2001-04-02,0.0006154115
2001-04-03,0.0006211881
2001-04-04,0.0006225461
2001-04-05,0.0006130305
2001-04-06,0.0006099671
2001-04-09,0.0006096266
2001-04-10,0.0006065606
2001-04-11,0.0006150714
2001-04-12,0.0006249214
2001-04-16,0.0006671017
2001-04-17,0.0006364387
2001-04-18,0.0006364387
2001-04-19,0.0006435357
2001-04-20,0.0007409312
2001-04-23,0.0007247527
2001-04-24,0.0007260758
2001-04-25,0.0007330152
2001-04-26,0.0006744795
2001-04-27,0.0006502831
2001-04-30,0.0006512942
2001-05-02,0.0006526420
2001-05-03,0.0006388058
2001-05-04,0.0006300067
2001-05-07,0.0006361004
2001-05-08,0.0006320390
2001-05-09,0.0006330547
2001-05-10,0.0006276343
2001-05-11,0.0006462361
2001-05-14,0.0006583649
2001-05-15,0.0006502831
2001-05-16,0.0006398198
2001-05-17,0.0006435357
2001-05-18,0.0006452237
2001-05-21,0.0006445486
2001-05-22,0.0006533157
2001-05-23,0.0006620636
2001-05-24,0.0006445486
2001-05-25,0.0006438734
2001-05-28,0.0006418471
2001-05-29,0.0006401578
2001-05-30,0.0006388058
2001-05-31,0.0006418471
2001-06-01,0.0006536525
2001-06-04,0.0006438734
2001-06-05,0.0006384677
2001-06-06,0.0006401578
2001-06-07,0.0006357621
2001-06-08,0.0006347471
2001-06-11,0.0006367770
2001-06-12,0.0006364387
2001-06-13,0.0006394818
2001-06-15,0.0006499460
2001-06-18,0.0006885265
2001-06-19,0.0006908629
2001-06-20,0.0006818436
2001-06-21,0.0006788326
2001-06-22,0.0006717982
2001-06-25,0.0006738093
2001-06-26,0.0006825124
2001-06-27,0.0006908629
2001-06-28,0.0006998618
2001-06-29,0.0006935314
2001-07-02,0.0006941982
2001-07-03,0.0007191243
2001-07-04,0.0007455416
2001-07-05,0.0007968821
2001-07-06,0.0007606526
2001-07-10,0.0008263402
2001-07-11,0.0008298864
2001-07-12,0.0008591024
2001-07-13,0.0008478908
2001-07-16,0.0008179458
2001-07-17,0.0008024019
2001-07-18,0.0008046724
2001-07-19,0.0007890766
2001-07-20,0.0007698227
2001-07-23,0.0007452125
2001-07-24,0.0007698227
2001-07-25,0.0007547464
2001-07-26,0.0007560597
2001-07-27,0.0007596689
2001-07-30,0.0007465289
2001-07-31,0.0007537613
2001-08-01,0.0007570444
2001-08-02,0.0007471869
2001-08-03,0.0007485026
2001-08-06,0.0007419196
2001-08-07,0.0007504754
2001-08-08,0.0007349957
2001-08-09,0.0007409312
2001-08-10,0.0007326851
2001-08-13,0.0007373050
2001-08-14,0.0007511328
2001-08-15,0.0007402722
2001-08-16,0.0007330152
2001-08-17,0.0007425784
2001-08-20,0.0007320246
2001-08-21,0.0007478448
2001-08-22,0.0007224361
2001-08-23,0.0007260758
2001-08-24,0.0007211117
2001-08-27,0.0007227671
2001-08-28,0.0007131562
2001-08-29,0.0007098368
2001-08-30,0.0007121607
2001-08-31,0.0007091726
2001-09-03,0.0007075116
2001-09-04,0.0007061822
2001-09-05,0.0007088404
2001-09-06,0.0007105009
2001-09-10,0.0007105009
2001-09-11,0.0007313641
2001-09-12,0.0007330152
2001-09-13,0.0007448833
2001-09-14,0.0007613084
2001-09-17,0.0007340056
2001-09-18,0.0007214429
2001-09-19,0.0007240910
2001-09-20,0.0007214429
2001-09-21,0.0007392833
2001-09-24,0.0007616362
2001-09-25,0.0007557314
2001-09-26,0.0007580288
2001-09-27,0.0007349957
2001-09-28,0.0007247527
2001-10-01,0.0007270679
2001-10-02,0.0007267373
2001-10-03,0.0007389537
2001-10-04,0.0007488315
2001-10-05,0.0007429078
2001-10-08,0.0007501467
2001-10-09,0.0007432371
2001-10-10,0.0007369752
2001-10-11,0.0007406017
2001-10-15,0.0007297123
2001-10-16,0.0007207806
2001-10-17,0.0007168045
2001-10-18,0.0007221050
2001-10-19,0.0007161414
2001-10-22,0.0007174675
2001-10-23,0.0007187930
2001-10-24,0.0007244218
2001-10-25,0.0007181303
2001-10-26,0.0007204494
2001-10-29,0.0007230981
2001-10-30,0.0007204494
2001-10-31,0.0007131562
2001-11-01,0.0007118288
2001-11-05,0.0007041874
2001-11-06,0.0007021916
2001-11-07,0.0006965312
2001-11-08,0.0006955315
2001-11-09,0.0006985299
2001-11-12,0.0007021916
2001-11-13,0.0006998618
2001-11-14,0.0006968644
2001-11-16,0.0006928644
2001-11-19,0.0006871909
2001-11-20,0.0006935314
2001-11-21,0.0006895280
2001-11-22,0.0006958648
2001-11-23,0.0006945315
2001-11-26,0.0006978638
2001-11-27,0.0006991959
2001-11-28,0.0007018588
2001-11-29,0.0007041874
2001-11-30,0.0007011932
2001-12-03,0.0006981969
2001-12-04,0.0006981969
2001-12-05,0.0007015260
2001-12-06,0.0007025242
2001-12-07,0.0007018588
2001-12-10,0.0006965312
2001-12-11,0.0006975307
2001-12-12,0.0006978638
2001-12-13,0.0006981969
2001-12-14,0.0006978638
2001-12-17,0.0006991959
2001-12-18,0.0006968644
2001-12-19,0.0006918638
2001-12-20,0.0006985299
2001-12-21,0.0006978638
2001-12-26,0.0006968644
2001-12-27,0.0006955315
2001-12-28,0.0006908629
2002-01-02,0.0006895280
2002-01-03,0.0006881927
2002-01-04,0.0006905292
2002-01-07,0.0006868569
2002-01-08,0.0006895280
2002-01-09,0.0006905292
2002-01-10,0.0006915302
2002-01-11,0.0006918638
2002-01-14,0.0006938648
2002-01-15,0.0006945315
2002-01-16,0.0006948649
2002-01-17,0.0006901955
2002-01-18,0.0006908629
2002-01-21,0.0006911965
2002-01-22,0.0006911965
2002-01-23,0.0006895280
2002-01-24,0.0006931979
2002-01-28,0.0006935314
2002-01-29,0.0006955315
2002-01-30,0.0006968644
2002-01-31,0.0006978638
2002-02-01,0.0006935314
2002-02-04,0.0006948649
2002-02-05,0.0006975307
2002-02-06,0.0006905292
2002-02-07,0.0006901955
2002-02-08,0.0006901955
2002-02-13,0.0006865228
2002-02-14,0.0006868569
2002-02-15,0.0006858547
2002-02-18,0.0006865228
2002-02-19,0.0006858547
2002-02-20,0.0006848523
2002-02-21,0.0006815092
2002-02-22,0.0006825124
2002-02-25,0.0006805057
2002-02-26,0.0006811747
2002-02-27,0.0006798366
2002-02-28,0.0006811747
2002-03-01,0.0006811747
2002-03-04,0.0006815092
2002-03-05,0.0006805057
2002-03-06,0.0006818436
2002-03-07,0.0006768241
2002-03-08,0.0006815092
2002-03-11,0.0006815092
2002-03-12,0.0006738093
2002-03-13,0.0006751495
2002-03-14,0.0006738093
2002-03-15,0.0006731391
2002-03-18,0.0006671017
2002-03-19,0.0006707923
2002-03-20,0.0006647514
2002-03-21,0.0006744795
2002-03-22,0.0006758195
2002-03-25,0.0006758195
2002-03-26,0.0006748145
