codigo_cvm,ticker_id,codigo_negociacao,data_referencia,ordinarias,preferenciais,totais
94,8,$PATI3,2010-12-31,8534,322,8856
94,8,$PATI3,2011-03-31,8534,322,8856
94,8,$PATI3,2011-06-30,8850,334,9184
94,8,$PATI3,2011-09-30,9135,345,9480
94,8,$PATI3,2011-12-31,9135,345,9480
94,8,$PATI3,2012-03-31,9135,345,9480
94,8,$PATI3,2012-06-30,9241,349,9590
94,8,$PATI3,2012-09-30,9423,355,9778
94,8,$PATI3,2012-12-31,9423,355,9778
94,8,$PATI3,2013-03-31,9423,355,9778
94,8,$PATI3,2013-06-30,9462,335,9797
94,8,$PATI3,2013-09-30,10785,679,11464
94,8,$PATI3,2013-12-31,11841,746,12587
94,8,$PATI3,2014-03-31,11841,746,12587
94,8,$PATI3,2014-06-30,13307,622,13929
94,8,$PATI3,2014-09-30,13307,622,13929
94,8,$PATI3,2014-12-31,15614,699,16313
94,8,$PATI3,2015-03-31,15614,699,16313
94,8,$PATI3,2015-06-30,15614,699,16313
94,8,$PATI3,2015-09-30,15614,699,16313
94,8,$PATI3,2015-12-31,15803,707,16510
94,8,$PATI3,2016-03-31,15803,707,16510
94,8,$PATI3,2016-06-30,15803,707,16510
94,8,$PATI3,2016-09-30,16572,742,17314
94,8,$PATI3,2016-12-31,16703,748,17451
94,8,$PATI3,2017-03-31,16703,748,17451
94,8,$PATI3,2017-06-30,16703,748,17451
94,8,$PATI3,2017-09-30,16703,748,17451
94,8,$PATI3,2017-12-31,16880,756,17636
94,8,$PATI3,2018-03-31,16880,756,17636
94,8,$PATI3,2018-06-30,16880,756,17636
94,8,$PATI3,2018-09-30,16880,756,17636
94,8,$PATI3,2018-12-31,17075,764,17839
94,8,$PATI3,2019-03-31,17075,764,17839
94,8,$PATI3,2019-06-30,17075,764,17839
94,8,$PATI3,2019-09-30,17075,764,17839
94,8,$PATI3,2019-12-31,17487,783,18270
94,8,$PATI3,2020-03-31,17487,783,18270
94,8,$PATI3,2020-06-30,17487,783,18270
94,8,$PATI3,2020-09-30,17487,783,18270
94,9,$PATI4,2010-12-31,8534,322,8856
94,9,$PATI4,2011-03-31,8534,322,8856
94,9,$PATI4,2011-06-30,8850,334,9184
94,9,$PATI4,2011-09-30,9135,345,9480
94,9,$PATI4,2011-12-31,9135,345,9480
94,9,$PATI4,2012-03-31,9135,345,9480
94,9,$PATI4,2012-06-30,9241,349,9590
94,9,$PATI4,2012-09-30,9423,355,9778
94,9,$PATI4,2012-12-31,9423,355,9778
94,9,$PATI4,2013-03-31,9423,355,9778
94,9,$PATI4,2013-06-30,9462,335,9797
94,9,$PATI4,2013-09-30,10785,679,11464
94,9,$PATI4,2013-12-31,11841,746,12587
94,9,$PATI4,2014-03-31,11841,746,12587
94,9,$PATI4,2014-06-30,13307,622,13929
94,9,$PATI4,2014-09-30,13307,622,13929
94,9,$PATI4,2014-12-31,15614,699,16313
94,9,$PATI4,2015-03-31,15614,699,16313
94,9,$PATI4,2015-06-30,15614,699,16313
94,9,$PATI4,2015-09-30,15614,699,16313
94,9,$PATI4,2015-12-31,15803,707,16510
94,9,$PATI4,2016-03-31,15803,707,16510
94,9,$PATI4,2016-06-30,15803,707,16510
94,9,$PATI4,2016-09-30,16572,742,17314
94,9,$PATI4,2016-12-31,16703,748,17451
94,9,$PATI4,2017-03-31,16703,748,17451
94,9,$PATI4,2017-06-30,16703,748,17451
94,9,$PATI4,2017-09-30,16703,748,17451
94,9,$PATI4,2017-12-31,16880,756,17636
94,9,$PATI4,2018-03-31,16880,756,17636
94,9,$PATI4,2018-06-30,16880,756,17636
94,9,$PATI4,2018-09-30,16880,756,17636
94,9,$PATI4,2018-12-31,17075,764,17839
94,9,$PATI4,2019-03-31,17075,764,17839
94,9,$PATI4,2019-06-30,17075,764,17839
94,9,$PATI4,2019-09-30,17075,764,17839
94,9,$PATI4,2019-12-31,17487,783,18270
94,9,$PATI4,2020-03-31,17487,783,18270
94,9,$PATI4,2020-06-30,17487,783,18270
94,9,$PATI4,2020-09-30,17487,783,18270
701,13,$BAHI3,2010-12-31,5451213,0,5451213
701,13,$BAHI3,2011-03-31,5451213,0,5451213
701,13,$BAHI3,2011-06-30,5996334,0,5996334
701,13,$BAHI3,2011-09-30,5996334,0,5996334
701,13,$BAHI3,2011-12-31,5996334,0,5996334
701,13,$BAHI3,2012-03-31,5996334,0,5996334
701,13,$BAHI3,2012-06-30,5996334,0,5996334
701,13,$BAHI3,2012-09-30,5996334,0,5996334
701,13,$BAHI3,2012-12-31,5996334,0,5996334
701,13,$BAHI3,2013-03-31,5996334,0,5996334
701,13,$BAHI3,2013-06-30,5996334,0,5996334
701,13,$BAHI3,2013-09-30,5996334,0,5996334
701,13,$BAHI3,2013-12-31,5996334,0,5996334
701,13,$BAHI3,2014-03-31,5996334,0,5996334
701,13,$BAHI3,2014-06-30,5996334,0,5996334
701,13,$BAHI3,2014-09-30,6038183,0,6038183
701,13,$BAHI3,2014-12-31,6038183,0,6038183
701,13,$BAHI3,2015-03-31,6038183,0,6038183
701,13,$BAHI3,2015-06-30,6038183,0,6038183
701,13,$BAHI3,2015-09-30,6038183,0,6038183
701,13,$BAHI3,2015-12-31,6038183,0,6038183
701,13,$BAHI3,2016-03-31,6038183,0,6038183
701,13,$BAHI3,2016-06-30,6038183,0,6038183
701,13,$BAHI3,2016-09-30,603818,0,603818
701,13,$BAHI3,2016-12-31,603818,0,603818
701,13,$BAHI3,2017-03-31,603818,0,603818
701,13,$BAHI3,2017-06-30,603818,0,603818
701,13,$BAHI3,2017-09-30,1171970,0,1171970
701,13,$BAHI3,2017-12-31,1171970,0,1171970
701,13,$BAHI3,2018-03-31,1171970,0,1171970
701,13,$BAHI3,2018-06-30,1171970,0,1171970
701,13,$BAHI3,2018-09-30,1171970,0,1171970
701,13,$BAHI3,2018-12-31,1171970,0,1171970
701,13,$BAHI3,2019-03-31,1171970,0,1171970
701,13,$BAHI3,2019-06-30,1171970,0,1171970
701,13,$BAHI3,2019-09-30,1171970,0,1171970
701,13,$BAHI3,2019-12-31,2219359,0,2219359
701,13,$BAHI3,2020-03-31,2219359,0,2219359
701,13,$BAHI3,2020-06-30,2219359,0,2219359
701,13,$BAHI3,2020-09-30,2219359,0,2219359
906,24,$BBDC3,2010-12-31,1881225,1881225,3762450
906,24,$BBDC3,2011-03-31,1912397,1912397,3824794
906,24,$BBDC3,2011-06-30,1912397,1912397,3824794
906,24,$BBDC3,2011-09-30,1912397,1912397,3824794
906,24,$BBDC3,2011-12-31,1912397,1912397,3824794
906,24,$BBDC3,2011-12-31,1912397,1912397,3824794
906,24,$BBDC3,2012-03-31,1912397,1912397,3824794
906,24,$BBDC3,2012-06-30,1912397,1912397,3824794
906,24,$BBDC3,2012-09-30,1912397,1912397,3824794
906,24,$BBDC3,2012-12-31,1912397,1912397,3824794
906,24,$BBDC3,2012-12-31,1912397,1912397,3824794
