Id,Nome,Descricao,Ticker,Version,VersionType,ExchangeId,InternalSymbol,InternalCryptoType,CotacaoAtivo,CodigoISINPapel,ElasticSearchId
1,AFLUENTE S.A.,NULL,$AFLT3,92,I,5,AFLT3,NULL,1,BRAFLTACNOR1,91M6OXIBooXOYNzv-Ftu
2,ALFA HOLDINGS S.A.,NULL,$RPAD6,92,I,5,RPAD6,NULL,1,BRRPADACNPB2,M1R-OXIBooXOYNzvjOTx
3,ALFA HOLDINGS S.A.,NULL,$RPAD3,92,I,5,RPAD3,NULL,1,BRRPADACNOR1,MVR-OXIBooXOYNzvjOSz
4,ALFA HOLDINGS S.A.,NULL,$RPAD5,92,I,5,RPAD5,NULL,1,BRRPADACNPA4,MlR-OXIBooXOYNzvjOS2
5,ALIANSCE SHOPPING CENTERS S.A.,NULL,$ALSO3,746,I,5,ALSO3,NULL,1,BRALSOACNOR5,DFM7OXIBooXOYNzvJl3L
6,ALPARGATAS S.A.,NULL,$ALPA3,92,I,5,ALPA3,NULL,1,BRALPAACNOR0,9FM7OXIBooXOYNzvIVzY
7,ALPARGATAS S.A.,NULL,$ALPA4,92,I,5,ALPA4,NULL,1,BRALPAACNPR7,9VM7OXIBooXOYNzvIlwM
8,ALUPAR INVESTIMENTO S.A.,NULL,$ALUP3,92,I,5,ALUP3,NULL,1,BRALUPACNOR8,PlM7OXIBooXOYNzvKV0P
9,ALUPAR INVESTIMENTO S.A.,NULL,$ALUP4,92,I,5,ALUP4,NULL,1,BRALUPACNPR5,P1M7OXIBooXOYNzvKV1G
10,ALUPAR INVESTIMENTO S.A.,NULL,$ALUP11,92,I,5,ALUP11,NULL,1,BRALUPCDAM15,PVM7OXIBooXOYNzvKF3Y
11,AMBEV S.A.,NULL,$ABEV3,92,I,5,ABEV3,NULL,1,BRABEVACNOR1,bFM5OXIBooXOYNzv3lVV
12,AMPLA ENERGIA E SERVIÇOS S.A.,NULL,$CBEE3,92,I,5,CBEE3,NULL,1,BRCBEEACNOR3,WlNLOXIBooXOYNzv8MGF
14,AREZZO S.A.,NULL,$ARZZ3,92,I,5,ARZZ3,NULL,1,BRARZZACNOR3,o1M7OXIBooXOYNzvaV7F
15,ATACADÃO S.A.,NULL,$CRFB3,92,I,5,CRFB3,NULL,1,BRCRFBACNOR2,bVNQOXIBooXOYNzv_t5Q
16,ATOM PARTICIPAÇÕES S.A. ,NULL,$ATOM3,92,I,5,ATOM3,NULL,1,BRATOMACNOR1,V1M7OXIBooXOYNzv32HF
17,AZEVEDO & TRAVASSOS S.A.,NULL,$AZEV4,92,I,5,AZEV4,NULL,1,BRAZEVACNPR7,B1M7OXIBooXOYNzv92KC
18,AZEVEDO & TRAVASSOS S.A.,NULL,$AZEV3,92,I,5,AZEV3,NULL,1,BRAZEVACNOR0,BlM7OXIBooXOYNzv92JP
19,AZUL S.A.,NULL,$AZUL4,92,I,5,AZUL4,NULL,1,BRAZULACNPR4,DlM7OXIBooXOYNzv-GL6
20,B2W - COMPANHIA DIGITAL,NULL,$BTOW3,92,I,5,BTOW3,NULL,1,BRBTOWACNOR8,RVNLOXIBooXOYNzvPr3M
21,BAHEMA S.A.,NULL,$BAHI3,92,I,5,BAHI3,NULL,1,BRBAHIACNOR1,nFM-OXIBooXOYNzvEm4x
22,BANCO ABC BRASIL S.A.,NULL,$ABCB4,92,I,5,ABCB4,NULL,1,BRABCBACNPR4,ZVM5OXIBooXOYNzv3FXl
23,BANCO ABC BRASIL S.A.,NULL,$ABCB2,92,I,5,ABCB2,NULL,1,NULL,ZFM5OXIBooXOYNzv3FWx
24,BANCO ALFA DE INVESTIMENTO S.A.,NULL,$BRIV4,92,I,5,BRIV4,NULL,1,BRBRIVACNPR3,3VNJOXIBooXOYNzvAa8q
25,BANCO ALFA DE INVESTIMENTO S.A.,NULL,$BRIV3,92,I,5,BRIV3,NULL,1,BRBRIVACNOR6,3FNJOXIBooXOYNzvAK_R
26,BANCO BANESE S.A.,NULL,$BGIP4,92,I,5,BGIP4,NULL,1,BRBGIPACNPR8,A1NDOXIBooXOYNzv2ZG3
27,BANCO BANESE S.A.,NULL,$BGIP3,92,I,5,BGIP3,NULL,1,BRBGIPACNOR1,AlNDOXIBooXOYNzv2ZGG
28,BANCO BANESTES S.A.,NULL,$BEES3,92,I,5,BEES3,NULL,1,BRBEESACNOR9,zVNDOXIBooXOYNzvzpD1
29,BANCO BANESTES S.A.,NULL,$BEES4,92,I,5,BEES4,NULL,1,BRBEESACNPR6,zlNDOXIBooXOYNzvz5At
30,BANCO BANRISUL S.A.,NULL,$BRSR5,92,I,5,BRSR5,NULL,1,BRBRSRACNPA6,8VNKOXIBooXOYNzv3LpQ
31,BANCO BANRISUL S.A.,NULL,$BRSR6,92,I,5,BRSR6,NULL,1,BRBRSRACNPB4,8lNKOXIBooXOYNzv3LqV
32,BANCO BANRISUL S.A.,NULL,$BRSR3,92,I,5,BRSR3,NULL,1,BRBRSRACNOR3,8FNKOXIBooXOYNzv3LoY
33,BANCO BRADESCO S.A.,NULL,$BBDC4,92,I,5,BBDC4,NULL,1,BRBBDCACNPR8,11NAOXIBooXOYNzvInqK
34,BANCO BRADESCO S.A.,NULL,$BBDC3,92,I,5,BBDC3,NULL,1,BRBBDCACNOR1,1lNAOXIBooXOYNzvInpS
35,BANCO BTG PACTUAL S.A.,NULL,$BPAC3,92,I,5,BPAC3,NULL,1,BRBPACACNOR7,WlNFOXIBooXOYNzvu5zy
36,BANCO BTG PACTUAL S.A.,NULL,$BPAC5,92,I,5,BPAC5,NULL,1,BRBPACACNPA0,W1NFOXIBooXOYNzvvJwr
37,BANCO BTG PACTUAL S.A.,NULL,$BPAC11,92,I,5,BPAC11,NULL,1,BRBPACUNT006,WVNFOXIBooXOYNzvu5y-
38,BANCO DA AMAZÔNIA S.A.,NULL,$BAZA3,92,I,5,BAZA3,NULL,1,BRBAZAACNOR0,wlM-OXIBooXOYNzvGm79
39,BANCO DO BRASIL S.A.,NULL,$BBAS3,92,I,5,BBAS3,NULL,1,BRBBASACNOR3,x1M-OXIBooXOYNzvG24K
40,BANCO DO BRASIL S.A.,NULL,$BBAS11,92,I,5,BBAS11,NULL,1,BRBBASA04OR8,wVM-OXIBooXOYNzvGm79
41,BANCO DO BRASIL S.A.,NULL,$BBAS12,92,I,5,BBAS12,NULL,1,BRBBASA05OR5,wFM-OXIBooXOYNzvGm79
42,BANCO INDUSVAL S.A.,NULL,$IDVL4,92,I,5,IDVL4,NULL,1,BRIDVLACNPR2,RlRkOXIBooXOYNzvnk7l
43,BANCO INDUSVAL S.A.,NULL,$IDVL3,92,I,5,IDVL3,NULL,1,BRIDVLACNOR5,RVRkOXIBooXOYNzvnk6v
44,BANCO MERCANTIL BRASIL S.A.,NULL,$BMEB4,92,I,5,BMEB4,NULL,1,BRBMEBACNPR5,HFNEOXIBooXOYNzvA5Jd
45,BANCO MERCANTIL BRASIL S.A.,NULL,$BMEB3,92,I,5,BMEB3,NULL,1,BRBMEBACNOR8,G1NEOXIBooXOYNzvA5It
46,BANCO PAN S.A.,NULL,$BPAN4,92,I,5,BPAN4,NULL,1,BRBPANACNPR1,TFNGOXIBooXOYNzvO5-N
47,BANCO PINE S.A.,NULL,$PINE3,92,I,5,PINE3,NULL,1,BRPINEACNOR1,e1R5OXIBooXOYNzvJ8W3
48,BANCO PINE S.A.,NULL,$PINE4,92,I,5,PINE4,NULL,1,BRPINEACNPR8,fFR5OXIBooXOYNzvJ8W5
49,BANCO SANTANDER BRASIL S.A.,NULL,$SANB11,92,I,5,SANB11,NULL,1,BRSANBCDAM13,-lR-OXIBooXOYNzvr-Sa
50,BANCO SANTANDER BRASIL S.A.,NULL,$SANB3,92,I,5,SANB3,NULL,1,BRSANBACNOR8,-1R-OXIBooXOYNzvr-TT
51,BANCO SANTANDER BRASIL S.A.,NULL,$SANB4,92,I,5,SANB4,NULL,1,BRSANBACNPR5,_FR-OXIBooXOYNzvsOQH
52,BARDELLA S.A. INDS MECANICAS,NULL,$BDLL3,92,I,5,BDLL3,NULL,1,BRBDLLACNOR1,vVNDOXIBooXOYNzvn49E
