,tickers
0,PATI3
1,PATI4
2,BAHI3
3,BBDC3
4,BBDC4
5,BAZA3
6,BBAS3
7,BGIP3
8,BGIP4
9,BEES3
10,BEES4
11,BRSR3
12,BRSR6
13,BRSR5
14,BNBR3
15,BMIN3
16,BMIN4
17,BMEB3
18,BMEB4
19,BRIV3
20,BRIV4
21,BDLL3
22,BDLL4
23,BALM3
24,BALM4
25,BAUH3
26,BAUH4
27,BMKS3
28,CAMB4
29,CAMB3
30,RANI3
31,ELET3
32,ELET6
33,ELET5
34,CMIG3
35,CMIG4
36,CLSC3
37,CLSC4
38,CESP3
39,CESP5
40,CESP6
41,CBEE3
42,FESA3
43,FESA4
44,CEDO3
45,CEDO4
46,CSAB3
47,CSAB4
48,CTNM3
49,CTNM4
50,REDE3
51,EEEL3
52,EEEL4
53,HBTS5
54,MSPA3
55,MSPA4
56,CRIV3
57,CRIV4
58,GGBR3
59,GGBR4
60,CSNA3
61,CTSA3
62,CTSA4
63,CTKA3
64,CTKA4
65,VALE3
66,CGRA4
67,CGRA3
68,GUAR3
69,ODER4
70,BRGE3
71,BRGE6
72,BRGE8
73,BRGE5
74,CALI3
75,CALI4
76,MEND3
77,MEND6
78,BRKM3
79,BRKM5
80,BRKM6
81,CORR3
82,CORR4
83,DOHL3
84,DOHL4
85,RADL3
86,MNDL3
87,EALT4
88,EALT3
89,WEGE3
90,ETER3
91,EUCA3
92,EUCA4
93,FIGE3
94,FIGE4
95,TASA3
96,TASA4
97,FRAS3
98,TUPY3
99,VVAR3
100,HETA4
101,HOOT4
102,HOOT3
103,IGBR3
104,ROMI3
105,TXRX4
106,TXRX3
107,INEP3
108,INEP4
109,ITSA3
110,ITSA4
111,JFEN3
112,KEPL3
113,LAME3
114,LAME4
115,LHER3
116,LHER4
117,LREN3
118,LUXM3
119,LUXM4
120,MGEL3
121,MGEL4
122,ESTR4
123,POMO3
124,POMO4
125,MERC3
126,MERC4
127,LEVE3
128,MTIG4
129,MTIG3
130,GOAU3
131,GOAU4
132,JPSA3
133,MTSA3
134,MTSA4
135,MMAQ3
136,MMAQ4
137,MOAR3
138,NORD3
139,PNVL3
140,PNVL4
141,PMAM3
142,AHEB3
143,AHEB5
144,AHEB6
145,PETR3
146,PETR4
147,PTNT3
148,PTNT4
149,RPAD3
150,RPAD6
151,RPAD5
152,RPMG3
153,ALPA3
154,ALPA4
155,SLED3
156,SLED4
157,SOND6
158,SOND5
159,WLMM4
160,TCNO3
161,TCNO4
162,TEKA3
163,TEKA4
164,TKNO3
165,TKNO4
166,TELB3
167,TELB4
168,OIBR3
169,OIBR4
170,CRPG3
171,CRPG6
172,CRPG5
173,UNIP3
174,UNIP6
175,UNIP5
176,VULC3
177,MYPK3
178,AZEV4
179,AZEV3
180,MWET3
181,MWET4
182,BOBR3
183,BOBR4
184,JBDU3
185,JBDU4
186,RCSL3
187,RCSL4
188,KLBN4
189,KLBN3
190,SNSY5
191,SNSY3
192,JOPA3
193,JOPA4
194,HAGA3
195,HAGA4
196,RSUL4
197,PPAR3
198,PLAS3
199,MNPR3
200,PTBL3
201,SCAR3
202,MAPT3
203,MAPT4
204,SUZB3
205,RAPT3
206,RAPT4
207,BSLI3
208,BSLI4
209,CPLE3
210,CPLE6
211,CPLE5
212,USIM3
213,USIM6
214,USIM5
215,WHRL3
216,WHRL4
217,CEPE5
218,CEPE6
219,SBSP3
220,CEBR3
221,CEBR5
222,CEBR6
223,CYRE3
224,CEEB3
225,CEEB5
226,ENMT3
227,ENMT4
228,SHUL3
229,SHUL4
230,HGTX3
231,PCAR3
232,COCE3
233,COCE5
234,COCE6
235,ENGI3
236,ENGI4
237,VSPT3
238,ATOM3
239,BTTL3
240,NEOE3
241,CGAS3
242,CGAS5
243,LIPR3
244,GFSA3
245,BRFS3
246,RSID3
247,ECPR3
248,ECPR4
249,CEGR3
250,GPCP3
251,GPCP4
252,PSSA3
253,CASN3
254,CASN4
255,EMAE4
256,EMAE3
257,EGIE3
258,RAIL3
259,EKTR3
260,EKTR4
261,VIVT3
262,STBP3
263,MMXM3
264,COGN3
265,CSRN3
266,CSRN6
267,CSRN5
268,EQPA3
269,EQPA5
270,EQPA6
271,EQPA7
272,GEPA3
273,GEPA4
274,TRPL3
275,TRPL4
276,PDTC3
277,UGPA3
278,DTCY3
279,SAPR4
280,SAPR3
281,CPFE3
282,PEAB3
283,PEAB4
284,BRAP3
285,BRAP4
286,CCRO3
287,TIET3
288,TIET4
289,ATMP3
290,BIOM3
291,TPIS3
292,ITUB3
293,ITUB4
294,CSMG3
295,ECOR3
296,GOLL4
297,GRND3
298,DASA3
299,FRTA3
300,RENT3
301,ENBR3
302,CSAN3
303,LIGT3
304,BRML3
305,BRPR3
306,TOTS3
307,EQTL3
308,VLID3
309,AGRO3
310,CARD3
311,LUPA3
312,EMBR3
313,ODPV3
314,TAEE3
315,TAEE4
316,MDIA3
317,PFRM3
318,TESA3
319,POSI3
320,LPSB3
321,TCSA3
322,RDNI3
323,PDGR3
324,IGTA3
