ticker_id,company_id,codigo_cvm,codigo_negociacao
8,1641,94,$PATI3
9,1641,94,$PATI4
13,163,701,$BAHI3
24,191,906,$BBDC3
25,191,906,$BBDC4
3,198,922,$BAZA3
33,202,1023,$BBAS3
14,206,1120,$BGIP3
15,206,1120,$BGIP4
22,244,1155,$BEES3
23,244,1155,$BEES4
225,207,1171,$BPAR3
26,209,1210,$BRSR3
27,209,1210,$BRSR6
28,209,1210,$BRSR5
12,210,1228,$BNBR3
1,224,1309,$BMIN3
2,224,1309,$BMIN4
20,223,1325,$BMEB3
21,223,1325,$BMEB4
5,174,1384,$CNPR3
6,174,1384,$BRIV3
7,174,1384,$BRIV4
18,259,1520,$BDLL3
19,259,1520,$BDLL4
10,267,1562,$BALM3
11,267,1562,$BALM4
16,1009,1570,$BAUH3
17,1009,1570,$BAUH4
29,304,1694,$BMFK3
30,304,1694,$BMKS3
427,443,2100,$CAMB4
430,443,2100,$CAMB3
31,1277,2429,$RANI3
32,1277,2429,$RANI4
58,493,2437,$ELET3
59,493,2437,$ELET6
60,493,2437,$ELET5
47,552,2453,$CMIG3
48,552,2453,$CMIG4
38,495,2461,$CLSC3
39,495,2461,$CLSC4
35,506,2577,$CESP3
36,506,2577,$CESP5
37,506,2577,$CESP6
34,92,3050,$CBEE3
40,562,3069,$FESA3
41,562,3069,$FESA4
42,723,3077,$CEDO3
43,723,3077,$CEDO4
44,618,3115,$CSAB3
45,618,3115,$CSAB4
53,631,3158,$CTNM3
54,631,3158,$CTNM4
57,1791,3190,$REDE3
428,558,3204,$eeel3
429,558,3204,$eeel4
46,751,3298,$HBTS5
55,575,3549,$SC303
56,575,3549,$SCL04
49,1050,3891,$CNOR4
50,1050,3891,$NPR1
51,1050,3891,$CRIV3
52,1050,3891,$CRIV4
61,1116,3980,$GGBR3
62,1116,3980,$GGBR4
69,629,4030,$4030
65,632,4081,$CTSA3
63,1330,4146,$CTKA3
64,1330,4146,$CTKA4
91,2199,4170,$VALE3
558,3099,4359,$ELEK3
559,3099,4359,$ELEK4
