,codigo_negociacao,data_referencia,release_date,ordinarias,preferenciais,totais
0,PATI3,2010-12-31,2011-04-01,8534,322,8856
1,PATI3,2011-03-31,2011-05-13,8534,322,8856
2,PATI3,2011-06-30,2011-08-11,8850,334,9184
3,PATI3,2011-09-30,2011-11-11,9135,345,9480
4,PATI3,2011-12-31,2012-03-20,9135,345,9480
5,PATI3,2012-03-31,2012-05-15,9135,345,9480
6,PATI3,2012-06-30,2012-08-14,9241,349,9590
7,PATI3,2012-09-30,2012-11-14,9423,355,9778
8,PATI3,2012-12-31,2013-03-08,9423,355,9778
9,PATI3,2013-03-31,2013-05-10,9423,355,9778
10,PATI3,2013-06-30,2013-08-13,9462,335,9797
11,PATI3,2013-09-30,2013-11-13,10785,679,11464
12,PATI3,2013-12-31,2014-03-18,11841,746,12587
13,PATI3,2014-03-31,2014-05-13,11841,746,12587
14,PATI3,2014-06-30,2014-08-12,13307,622,13929
15,PATI3,2014-09-30,2014-11-13,13307,622,13929
16,PATI3,2014-12-31,2015-03-05,15614,699,16313
17,PATI3,2015-03-31,2015-05-15,15614,699,16313
18,PATI3,2015-06-30,2015-08-13,15614,699,16313
19,PATI3,2015-09-30,2015-11-12,15614,699,16313
20,PATI3,2015-12-31,2016-03-18,15803,707,16510
21,PATI3,2016-03-31,2016-05-13,15803,707,16510
22,PATI3,2016-06-30,2016-08-15,15803,707,16510
23,PATI3,2016-09-30,2016-11-11,16572,742,17314
24,PATI3,2016-12-31,2017-03-17,16703,748,17451
25,PATI3,2017-03-31,2017-05-12,16703,748,17451
26,PATI3,2017-06-30,2017-08-11,16703,748,17451
27,PATI3,2017-09-30,2017-11-09,16703,748,17451
28,PATI3,2017-12-31,2018-02-26,16880,756,17636
29,PATI3,2018-03-31,2018-05-11,16880,756,17636
30,PATI3,2018-06-30,2018-08-15,16880,756,17636
31,PATI3,2018-09-30,2018-11-14,16880,756,17636
32,PATI3,2018-12-31,2019-02-28,17075,764,17839
33,PATI3,2019-03-31,2019-05-10,17075,764,17839
34,PATI3,2019-06-30,2019-08-13,17075,764,17839
35,PATI3,2019-09-30,2019-11-11,17075,764,17839
36,PATI3,2019-12-31,2020-02-28,17487,783,18270
37,PATI3,2020-03-31,2020-06-25,17487,783,18270
38,PATI3,2020-06-30,2020-08-26,17487,783,18270
39,PATI3,2020-09-30,2020-11-13,17487,783,18270
40,PATI3,2020-12-31,2021-02-26,17487,783,18270
41,PATI4,2010-12-31,2011-04-01,8534,322,8856
42,PATI4,2011-03-31,2011-05-13,8534,322,8856
43,PATI4,2011-06-30,2011-08-11,8850,334,9184
44,PATI4,2011-09-30,2011-11-11,9135,345,9480
45,PATI4,2011-12-31,2012-03-20,9135,345,9480
46,PATI4,2012-03-31,2012-05-15,9135,345,9480
47,PATI4,2012-06-30,2012-08-14,9241,349,9590
48,PATI4,2012-09-30,2012-11-14,9423,355,9778
49,PATI4,2012-12-31,2013-03-08,9423,355,9778
50,PATI4,2013-03-31,2013-05-10,9423,355,9778
51,PATI4,2013-06-30,2013-08-13,9462,335,9797
52,PATI4,2013-09-30,2013-11-13,10785,679,11464
53,PATI4,2013-12-31,2014-03-18,11841,746,12587
54,PATI4,2014-03-31,2014-05-13,11841,746,12587
55,PATI4,2014-06-30,2014-08-12,13307,622,13929
56,PATI4,2014-09-30,2014-11-13,13307,622,13929
57,PATI4,2014-12-31,2015-03-05,15614,699,16313
58,PATI4,2015-03-31,2015-05-15,15614,699,16313
59,PATI4,2015-06-30,2015-08-13,15614,699,16313
60,PATI4,2015-09-30,2015-11-12,15614,699,16313
61,PATI4,2015-12-31,2016-03-18,15803,707,16510
62,PATI4,2016-03-31,2016-05-13,15803,707,16510
63,PATI4,2016-06-30,2016-08-15,15803,707,16510
64,PATI4,2016-09-30,2016-11-11,16572,742,17314
65,PATI4,2016-12-31,2017-03-17,16703,748,17451
66,PATI4,2017-03-31,2017-05-12,16703,748,17451
67,PATI4,2017-06-30,2017-08-11,16703,748,17451
68,PATI4,2017-09-30,2017-11-09,16703,748,17451
69,PATI4,2017-12-31,2018-02-26,16880,756,17636
70,PATI4,2018-03-31,2018-05-11,16880,756,17636
71,PATI4,2018-06-30,2018-08-15,16880,756,17636
72,PATI4,2018-09-30,2018-11-14,16880,756,17636
73,PATI4,2018-12-31,2019-02-28,17075,764,17839
74,PATI4,2019-03-31,2019-05-10,17075,764,17839
75,PATI4,2019-06-30,2019-08-13,17075,764,17839
76,PATI4,2019-09-30,2019-11-11,17075,764,17839
77,PATI4,2019-12-31,2020-02-28,17487,783,18270
78,PATI4,2020-03-31,2020-06-25,17487,783,18270
79,PATI4,2020-06-30,2020-08-26,17487,783,18270
80,PATI4,2020-09-30,2020-11-13,17487,783,18270
81,PATI4,2020-12-31,2021-02-26,17487,783,18270
82,BAHI3,2010-12-31,2011-03-04,5451213,0,5451213
83,BAHI3,2011-03-31,2011-05-12,5451213,0,5451213
84,BAHI3,2011-06-30,2011-08-04,5996334,0,5996334
85,BAHI3,2011-09-30,2011-10-31,5996334,0,5996334
86,BAHI3,2011-12-31,2012-03-16,5996334,0,5996334
87,BAHI3,2012-03-31,2012-05-16,5996334,0,5996334
88,BAHI3,2012-06-30,2012-08-09,5996334,0,5996334
89,BAHI3,2012-09-30,2012-11-14,5996334,0,5996334
90,BAHI3,2012-12-31,2013-04-01,5996334,0,5996334
91,BAHI3,2013-03-31,2013-05-22,5996334,0,5996334
92,BAHI3,2013-06-30,2013-08-05,5996334,0,5996334
93,BAHI3,2013-09-30,2013-11-14,5996334,0,5996334
94,BAHI3,2013-12-31,2014-03-31,5996334,0,5996334
95,BAHI3,2014-03-31,2014-05-08,5996334,0,5996334
96,BAHI3,2014-06-30,2014-07-15,5996334,0,5996334
97,BAHI3,2014-09-30,2014-10-22,6038183,0,6038183
98,BAHI3,2014-12-31,2015-03-28,6038183,0,6038183
99,BAHI3,2015-03-31,2015-10-23,6038183,0,6038183
100,BAHI3,2015-06-30,2015-10-23,6038183,0,6038183
101,BAHI3,2015-09-30,2015-11-05,6038183,0,6038183
102,BAHI3,2015-12-31,2016-03-22,6038183,0,6038183
103,BAHI3,2016-03-31,2016-05-13,6038183,0,6038183
104,BAHI3,2016-06-30,2016-08-12,6038183,0,6038183
105,BAHI3,2016-09-30,2016-11-10,603818,0,603818
106,BAHI3,2016-12-31,2017-03-27,603818,0,603818
107,BAHI3,2017-03-31,2017-05-16,603818,0,603818
108,BAHI3,2017-06-30,2017-08-21,603818,0,603818
109,BAHI3,2017-09-30,2017-11-10,1171970,0,1171970
110,BAHI3,2017-12-31,2018-03-27,1171970,0,1171970
111,BAHI3,2018-03-31,2018-05-14,1171970,0,1171970
112,BAHI3,2018-06-30,2018-08-13,1171970,0,1171970
113,BAHI3,2018-09-30,2018-11-12,1171970,0,1171970
114,BAHI3,2018-12-31,2019-03-28,1171970,0,1171970
115,BAHI3,2019-03-31,2019-05-15,1171970,0,1171970
116,BAHI3,2019-06-30,2019-08-13,1171970,0,1171970
